type,SOx,NOx,CO,THC,PM2.5,TSP
car_ICEV_g,0.0006,0.0588,1.2052,0.4596,0.0572,0.1388
car_ICEV_d,0.008,0.2933,0.1531,0.0249,0.0601,0.1391
light_truck_ICEV_g,0.0007,0.1486,1.2653,0.4694,0.0572,0.1389
light_truck_ICEV_d,0.0009,0.6282,0.3134,0.0342,0.0992,0.1816
heavy_truck_ICEV,0.0029,8.8067,2.67,0.4171,0.3515,0.5941
bus_ICEV,0.0035,8.094,2.5327,0.2962,0.3322,0.5731
scooter_ICEV,0.0006,0.315789474,7,0.4596,0.0572,0.1388
