type,SOx,NOx,CO,THC,PM2.5,TSP
car_ICEV_g,0.0006,0.0199,0.569,0.3582,0.0572,0.1388
car_ICEV_d,0.008,0.0395,0.0443,0.0062,0.0504,0.1286
light_truck_ICEV_g,0.0007,0.0149,0.4548,0.3505,0.0572,0.1389
light_truck_ICEV_d,0.0009,0.0652,0.0415,0.0055,0.051,0.1292
heavy_truck_ICEV,0.0029,0.2159,0.0937,0.0076,0.1463,0.371
bus_ICEV,0.0035,0.2189,0.0617,0.0042,0.1454,0.3701
scooter_ICEV,0.0006,0.06,1,0.3582,0.0572,0.1388
