type,SOx,NOx,CO,THC,PM2.5,TSP
car_ICEV_g,0.0006,0.7743,3.3532,1.0162,0.0572,0.1388
car_ICEV_d,0.008,0.5794,0.3235,0.0312,0.098,0.1802
light_truck_ICEV_g,0.0007,1.969,17.2399,3.9443,0.0572,0.1389
light_truck_ICEV_d,0.0009,2.1486,1.2937,0.1513,0.5476,0.6689
heavy_truck_ICEV,0.0029,22.9615,9.7593,2.3996,1.439,1.7761
bus_ICEV,0.0035,27.8526,13.3398,3.0653,1.6997,2.0595
scooter_ICEV,0.0006,0.868421053,8.8,1.0162,0.0572,0.1388
