type,SOx,NOx,CO,THC,PM2.5,TSP
car_ICEV_g,0.0006,0.0263,0.7181,0.375,0.0572,0.1388
car_ICEV_d,0.008,0.1074,0.1167,0.0194,0.0505,0.1286
light_truck_ICEV_g,0.0007,0.0534,0.6694,0.3676,0.0572,0.1389
light_truck_ICEV_d,0.0009,0.1783,0.165,0.027,0.0512,0.1294
heavy_truck_ICEV,0.0029,2.2373,0.194,0.0278,0.16,0.3859
bus_ICEV,0.0035,2.211,0.1539,0.0269,0.1606,0.3865
scooter_ICEV,0.0006,0.15,2,0.375,0.0572,0.1388
