id,income,car
4837,82294.5,0
7574,82310,0
8492,82449,0
7942,82508,0
3122,82526.28571,0.14
7524,82528.8,0.2
8360,82664.16667,0
4473,82773.54545,0.09
11800,82823.2,0.2
9979,82863.33333,0
8590,82916.16667,0.17
7594,82991.33333,0
12685,83070.66667,0.17
3015,83245.8,0.2
3272,83273,0
5686,83313.75,0
1842,83359,0.25
3128,83366,0
4696,83455.8,0
8131,83583.57143,0
7514,83632.71429,0.14
7938,83795,0
5337,83833,0
8090,83863,0
7536,83916,0.5
6219,83920,0
6817,83937,0.2
4525,84102.6,0.2
5785,84183.6,0
7424,84236,0
3780,84283.6,0
6120,84314,0
7848,84364.6,0.2
7254,84370.66667,0.17
6796,84421.8,0
7584,84457,0.14
5978,84504.14286,0.14
13783,84568,0
7937,84583.2,0.2
1806,85124.91667,0.08
12818,85293.28571,0
13563,85347.5,0
8093,85386,0
3748,85406,0.33
1259,85476.66667,0.17
4001,85568.8,0.2
2228,85631.2,0.2
1158,85655,0
8002,85842,0.5
5887,85877,0.09
7840,85896,0
7886,85941,0
8068,86017,0.25
1295,86130.83333,0
3247,86202.77778,0.11
6203,86206,0
8080,86234.25,0.25
413,86686.4,0.2
5594,86689,0
8692,86702,0
8296,86744,0
3057,86746.66667,0
7513,86856.4,0.2
6619,87061.45455,0.09
7451,87084.25,0
6066,87104.4,0
4434,87131.57143,0.14
4498,87169.4,0.2
9591,87243,0.2
4609,87282.5,0
4927,87373.8,0.2
1299,87507.66667,0.17
7108,87598.375,0.25
8054,87638.75,0
5535,87756.25,0
4309,87845,0
1844,87990.2,0.2
7650,88026.16667,0.17
4266,88051.2,0.2
6596,88091.85714,0.14
9542,88117,0.25
8355,88224.5,0.5
5544,88241.33333,0
4676,88394,0.33
2315,88461.57143,0.14
6422,88509.83333,0.17
8073,88522,0.25
4900,88534,0.17
7923,88648,0
6620,88654.4,0.2
3509,88694.625,0.13
6784,88721.2,0
6468,88723,0
5998,88778.8,0.2
54,88815.2,0
7827,88896.8,0.4
7515,88965.5,0
9548,88999.75,0.13
1276,89025.5,0.17
13579,89107.71429,0.14
7538,89194,0
8685,89343,0
4553,89372.875,0.13
8458,89453.66667,0
13511,89610.5,0
6600,89639.5,0.17
4143,89906,0
7647,89917.875,0.13
8217,89918.25,0
4056,89932.5,0.17
1402,90004.25,0
6261,90020.5,0
7118,90123,0
9607,90216.2,0
6818,90328,0
4344,90329.83333,0.17
3632,90474,0.33
8067,90480,0
3267,90617.71429,0.14
7798,90626.4,0.2
4365,90722.83333,0.17
3209,90974,0.5
8395,91013.33333,0
6608,91021.33333,0
7940,91199.5,0
3592,91406.4,0.2
849,91414.8,0.2
6135,91417,0.17
7839,91457.5,0
4226,91482.2,0
6161,91483.66667,0
4576,91503.375,0.13
4471,91556.125,0.13
12663,91625.6,0
6069,91688,0
6802,91846.6,0.4
7129,91999,0.5
6583,92068.16667,0.17
4617,92099,0
8860,92217.8,0.2
10930,92285,0
8700,92446.2,0.2
4645,92496.33333,0
6359,92509,0
4147,92527,0
74,92608,0
2022,92620.33333,0
8111,92659,0.17
1734,92668.33333,0
3213,92743,0.17
4336,92777.4,0
7123,92822.5,0
8693,92837.5,0
4244,92872.33333,0.33
5546,92926.5,0
8213,93001.4,0
7426,93041,0
1405,93073.8,0.2
12648,93216.5,0.17
5818,93225.375,0.13
6216,93263.75,0.25
7482,93269.5,0
6595,93347.75,0.25
4458,93439.4,0
5883,93509.66667,0.33
3452,93538,0
7567,93581.6,0
4290,93669.375,0.13
9962,93673.66667,0.17
4519,93808.2,0.2
4615,93940.5,0
4891,93963.6,0.2
5454,94031.8,0
11793,94085.5,0
7452,94134.5,0.25
4704,94166.6,0.2
4533,94261.5,0
7219,94363.83333,0
7890,94564.66667,0
3925,94576.8,0.2
696,94580.6,0
3568,94668.16667,0.17
11795,94711,0
2812,94747.625,0
6867,94790,0
6405,94808.5,0
469,94865,0
3123,94882.33333,0.17
713,94886.5,0
7397,94904.2,0
1258,94907.66667,0
8297,94986,0
4051,95022.66667,0.17
6277,95099.33333,0
1751,95145.33333,0.33
1207,95220.8,0
3619,95328.25,0
961,95445.5,0
7733,95450,0
1759,95496,0
4248,95523.2,0
13537,95538.33333,0
3663,95566,0
4261,95591.5,0
3662,95694.8,0.2
8415,95748.8,0.2
9564,95857.2,0
9020,95867.25,0.25
925,95890,0.25
7785,95909.66667,0
8107,96013,0
13657,96016.42857,0
5464,96038,0
8253,96058.25,0.25
8134,96107.4,0
4204,96176.8,0
6847,96202.5,0
5427,96215.33333,0
6892,96217.2,0.2
2962,96232.14286,0.14
5487,96280,0
13328,96377.5,0
3675,96402.6,0.2
4925,96409.5,0.17
5977,96515.33333,0
1777,96534.25,0
9522,96719.5,0.25
4706,96732.83333,0.17
8659,96736,0
5794,96754,0
5139,96862,0
2990,96872.6,0.2
7590,96916.6,0.2
6167,96918,0
3815,97000,0
5400,97026.5,0
13665,97047.66667,0
4521,97048.75,0.13
7626,97058.2,0.2
13340,97063,0.2
3157,97293.75,0
1649,97310.4,0.2
12622,97322.2,0.2
5696,97407,0.25
3053,97448.66667,0.17
2536,97457.57143,0.14
4416,97482.4,0.2
6945,97499,0.5
7273,97547.33333,0.17
12660,97602,0
4254,97603.6,0
8618,97612.6,0
5387,97637.6,0
7013,97705.8,0.2
8106,97707.75,0
7921,97753.33333,0
5968,97786.5,0.5
6095,97866,0
8017,97896.25,0.25
6828,97899.5,0
6752,97920,0.25
496,97941.25,0
13018,97977.2,0
280,97995.75,0
8082,98018.5,0
6481,98079.2,0.2
8331,98080.2,0
9743,98157.4,0.2
9550,98191,0
4321,98244.8,0.2
3118,98277.5,0
6856,98292.5,0
3866,98309.16667,0.17
3154,98358.42857,0.29
4330,98377,0
1675,98384.33333,0
7623,98393.5,0
9717,98526.25,0.25
1742,98563,0
6651,98620.33333,0
2343,98632.5,0.25
6190,98677.25,0
6585,98680.125,0
9880,98732.25,0.25
5346,98760.66667,0
10367,98791,0
3197,98882.08333,0.08
1121,98907,0
4292,98960.5,0
5630,98961.5,0
3903,99011.66667,0.17
4439,99055,0
2475,99154,0
12741,99194.75,0
7274,99201.66667,0.17
5683,99210,0.5
11920,99226.6,0
1912,99275,0
7386,99290.5,0
6470,99357.66667,0.33
6221,99377.14286,0
924,99379.77778,0.11
9389,99384.16667,0.17
4585,99453.8,0.2
8012,99489.6,0
10053,99490,0
7604,99493,0.25
6781,99575.6,0
3499,99674.75,0.25
5402,99699.75,0.25
8198,99759,0
4517,99805,0
7156,99870.42857,0.14
5856,99900.5,0
10041,99940,0
492,99965,0.2
3496,99999.75,0.25
855,100055.1667,0.17
3530,100148.8,0.2
9361,100159.6,0.2
4732,100165.8571,0
2263,100222.1667,0.17
7980,100228,0
3794,100307.6667,0.33
6673,100335.6,0.2
3160,100360.7143,0
5646,100423,0
8356,100445.8333,0
9669,100498.6667,0
440,100600.6,0
7330,100608.5,0
4591,100609,0
1888,100650.4,0
4746,100825,0
7577,100844,0
13418,100897.75,0
6618,100942,0
6797,100950.4,0
353,101059.4,0.2
3427,101118.5,0
13330,101191,0
3211,101230,0.2
7930,101367,0
11796,101372.6667,0.17
6570,101435.75,0
5793,101461,0.25
3136,101526.5,0
3358,101574.3333,0
3132,101577.8333,0.17
3728,101612,0
7616,101634,0
7638,101654.5,0
6428,101675.3333,0
12606,101688,0
3124,101725,0.2
3228,101760,0.25
4549,101812,0.2
5788,101828.2,0.2
12572,101853.2,0.2
5850,101857.2,0.2
8191,101869.3333,0
1740,101912.2857,0
5340,101943.5,0
7597,101943.5,0
2300,101958.5,0
7304,101994.75,0
7556,102045,0
3874,102061.2,0.2
9454,102083.5,0.17
9206,102154.6667,0
4784,102156.625,0.25
317,102159.3333,0
8094,102168.2,0
8701,102297.5,0
5928,102318.6,0
985,102344.3333,0
1697,102419.6,0.2
5523,102569.25,0
7823,102610.25,0.25
5817,102634,0
9217,102641.75,0
7913,102645.5,0.5
4500,102649.5,0
5243,102833,0.2
3718,102842.5,0
12740,102959,0
3993,102959.8,0
12547,103012.8,0
5729,103061.3333,0.33
2503,103063.5,0
4275,103136.8571,0.14
4870,103163.5,0.17
12514,103197,0.25
7476,103207,0
9518,103217,0.2
13795,103287.3333,0
7951,103394,0
13505,103426.375,0
7892,103442,0
2483,103493.25,0.25
13753,103516.3333,0
7879,103522.5,0.25
8085,103575.6667,0
3920,103619.5,0.5
143,103696.6667,0
1021,103706.6667,0.17
6174,103711.5,0
11097,103823.6,0.2
6645,103905.4,0.2
1488,103919.5,0
5277,103942.5714,0.14
13516,103991,0
8256,104022,0
11553,104071,0.33
4778,104078,0
3625,104084.6667,0
6137,104088.7143,0.14
4311,104098.4,0.2
3673,104119.4,0
11099,104136.5,0
845,104147.6,0
9846,104165.25,0.25
9351,104188.1667,0
6202,104194,0.17
8086,104196.4,0
7062,104311.8,0.2
3996,104313.4,0.2
9280,104320,0
4410,104434.6667,0.17
7979,104469,0
9416,104533,0
1726,104533.6667,0
9449,104544.3333,0
7976,104553.3333,0.33
3292,104566,0.33
4307,104597,0
6475,104606,0
646,104612.5,0
3542,104682,0
5728,104701.4,0
6193,104723,0
6211,104723,0.33
11799,104772.6,0.2
4334,104795,0.2
3816,104796.25,0.13
7120,104894.3333,0.17
4419,104906.5,0
359,104912.25,0
6046,104972.8,0.2
13687,104993.5714,0
7876,105016,0
3966,105016.7,0.2
7530,105040.6,0
10675,105089.5714,0.14
4276,105149.8571,0.14
6699,105227.3333,0.17
13171,105255,0
4495,105288,0.2
3010,105447.5,0.25
1739,105454.6667,0.33
11422,105480.3333,0
12259,105536.3333,0.17
9173,105567.1667,0.17
3813,105571,0.25
5863,105573,0
6453,105596,0
2720,105606.6667,0
5249,105625.8,0
12699,105638,0
4406,105651.5,0.25
5621,105670.3333,0
2965,105686.5,0.17
9423,105690.2,0
9124,105727.3333,0
4149,105752.2,0.2
65,105755,0
12639,105844,0.25
2650,105864.5,0.25
4271,105878.2,0.2
7883,105923.3333,0
5679,105936.25,0.25
5026,106025,0.17
6785,106062.25,0.25
5671,106095,0.17
1836,106106.5,0
9582,106130,0.25
7797,106221.5,0.25
4030,106231.2857,0
1827,106279.5,0
9563,106293.4,0.2
5644,106321.5,0.25
12696,106378.75,0
1323,106472.5714,0.14
7916,106479,0.2
4212,106484.6667,0
5369,106496.5,0
3271,106505,0
220,106509.75,0.25
5606,106620.2857,0.29
13777,106625.5,0
4758,106741.3333,0.33
2479,106789,0
1261,106816.3333,0
7949,106829.2857,0.14
6504,106898.6,0
13528,106917.25,0.13
8628,106918.8,0.2
10061,106988.6667,0
7895,107036.5,0
6094,107102.5,0
2873,107145.5,0
7880,107178.7143,0
7991,107183.25,0.25
4513,107204,0.2
3562,107257.4,0
9373,107261.4,0.4
4398,107289.8333,0
9629,107316.8333,0
7799,107330.5,0.13
8121,107334.5,0
4371,107402.25,0.13
6632,107449.6667,0.17
4621,107471.4,0.2
3059,107492,0
7507,107588.4,0
3104,107626,0.2
756,107697.4,0
3494,107765.4,0.2
13361,107783.75,0.25
6760,107789.6,0.2
6705,107845.5,0.25
7780,107846.2,0
4527,107942.8,0.2
12865,107969.75,0.25
8681,108044,0.11
5071,108070.6,0
4047,108107.75,0
5861,108136.5,0
4755,108210.4,0
7641,108259.75,0.25
1019,108264.6,0
6770,108266,0
5135,108267,0
3093,108302,0
3006,108319.8,0.2
8612,108357.6,0.2
4136,108380.5,0
8348,108429.8,0
7310,108442,0
44,108451.5714,0.14
13668,108472,0
2619,108501,0
3291,108507.6,0.2
1400,108516.6,0
13761,108519.4,0
6026,108545.25,0
1508,108597.1667,0
7575,108628,0
6101,108651.2857,0.14
13765,108659,0
3288,108798,0
9268,108842.1429,0
7778,108908,0
6107,108914.75,0.13
7676,108949,0.5
6690,108957.5,0.25
12618,108966.5,0
12866,109039,0
1599,109064.6667,0.33
6119,109068.25,0
7314,109077.2,0
7749,109121,1
3845,109153.5,0
7888,109175.6667,0.11
5851,109256.5,0
4819,109273.6667,0
13087,109302.5,0
2271,109316.75,0
9431,109336.6,0.2
2660,109380.6667,0
4955,109418.5,0
2523,109446.5,0.17
3923,109474.4,0.2
3767,109537.5,0
5673,109558.5,0
1699,109568.125,0.13
9620,109576.4,0
5854,109637,0
12512,109643.4,0.2
7646,109667.5,0
3951,109689.6,0.2
4222,109824,0
7939,109862.5,0
4474,109877.5,0
1300,109889,0.2
6798,109895.2,0
3624,109994.25,0.25
1738,110007.3333,0.22
3120,110049.5,0.1
5207,110060.5,0.13
6040,110066.875,0.13
70,110089.25,0
8263,110092.25,0
383,110144.5,0
6568,110150.5,0
1414,110171.8333,0.17
1245,110211.8,0
6610,110215,0
6746,110346.25,0.25
6143,110348.5,0
10072,110405.25,0.25
2040,110425.2,0.2
3974,110430.6667,0.33
13517,110482.6667,0
3644,110499.6667,0.17
435,110503,0
4057,110544.5,0.25
6675,110561,0
12552,110570.75,0
5927,110578.5,0
4303,110663,0
5944,110696.5,0.5
6049,110699.8571,0.14
5864,110704,0.2
13661,110727.4286,0.14
13653,110788.75,0
8646,110808,0.17
8070,110822.5,0
4272,110869.8333,0.17
2763,110878,0
6054,110892,0.25
10049,110921.5,0
7987,110925.1429,0
6853,111005.8333,0
8791,111033.1667,0.17
4791,111064.8,0
1656,111071.2,0
1744,111084.3333,0.67
10098,111119.1667,0.17
6347,111184.5,0
2860,111186.2,0.2
4483,111206.2,0.2
6833,111206.25,0
7588,111233,0
4171,111248,0.25
7917,111294.2,0.2
3997,111297.25,0
13085,111322.75,0
5560,111344,0.5
13801,111356.8,0
13523,111357,0
6444,111404,0
1456,111470.3333,0
5460,111496,0.33
7261,111498.6667,0
9957,111514,0
5145,111525.5,0
6857,111536.8,0.2
9494,111598.5,0
528,111651,0
1480,111668,0
13742,111776.3333,0.17
6441,111815.5714,0.14
5819,111916.75,0
8515,111975.6667,0
13161,111979.4,0
9796,112009.25,0.25
2131,112070.4,0.2
8001,112093.75,0.25
5223,112102,0
9780,112117.25,0
4797,112119.25,0.25
10408,112139,0
8505,112161,0.14
2435,112189.5714,0.14
9350,112203.25,0.25
5797,112207,0
4897,112207.5,0.25
8767,112223,0
1306,112229.8,0.2
9267,112275.3333,0
5714,112345.6,0.2
6051,112364.5,0.25
8046,112369,0
1040,112396.8,0.2
9082,112448.25,0.25
9316,112576.1429,0.14
13798,112583,0
8235,112588.6667,0
5157,112596,0.33
4046,112642.25,0.25
4285,112648.7143,0.14
3333,112736,0
5921,112780,0
7540,112798,0.5
4644,112848,0
5322,112899.7143,0.14
1486,112905.8,0.2
4260,112932.5,0.25
6726,112961.6,0
1294,113004,0.25
5273,113017.6667,0
5141,113030.5,0
8617,113094.2857,0
1710,113100.6,0.2
7529,113122.6667,0
5813,113133,0.33
10409,113152.3333,0
6914,113166.5,0
3682,113169.25,0.25
1602,113174,0.17
912,113208.5,0
4648,113285,0
7346,113294.25,0
6714,113475.25,0
5136,113493,0
3188,113552.5714,0.14
5915,113563.4,0.2
5865,113648.25,0
7842,113756.8333,0.17
3643,113765.5,0.17
13071,113785.8,0
7845,113815.4,0.2
257,113865.8,0
4833,113891,0
5339,113949,0
6855,114023.75,0
6018,114044.5,0
10000,114077.4,0.2
4007,114111.8,0.2
7347,114116.3333,0.17
1807,114122,0
2006,114129.8333,0.5
9670,114239.1667,0.17
7150,114239.5,0
12697,114267,0
5186,114283.4,0
2090,114295.2,0.2
5489,114385.75,0.25
10548,114423,0.33
1803,114591,0
446,114642.6,0
684,114723.3333,0
4481,114723.6,0
11419,114731.8333,0
8079,114738.5,0.25
3299,114822.5,0
2975,114899.75,0.25
7593,114948.8,0.4
7317,114966.8333,0.17
5140,114990,0
6336,115020.6667,0
7572,115032.5,0
7606,115046.6,0.4
4299,115056,0.2
6439,115131.75,0.25
4482,115175,0.25
13515,115212.6,0
5880,115223.6,0
1626,115224,0.25
7009,115230.4,0
3656,115279.1667,0.17
4186,115280.1667,0.17
2554,115320.5,0
13673,115327,0
6772,115368.6,0
6142,115375.3333,0
7841,115407,0.17
3545,115407.75,0.25
706,115411.8,0
4612,115441.1667,0.17
1392,115469.6,0.2
5795,115499.5,0.25
4300,115545,0
872,115562,0
13524,115594.5,0
9131,115596.25,0
7483,115633.3333,0.17
4153,115709.6,0.2
1872,115756,0.25
3707,115777.3333,0.17
4793,115785.1667,0.17
13235,115805.6667,0.17
5494,115824.2,0.2
4361,115849,0.14
4202,115852.1667,0.17
1686,115855.3333,0.17
6863,115864.3333,0.17
5206,115865,0
3356,115884.8571,0.14
6688,115899.8333,0.17
9801,115934,0
12523,115976.75,0.25
6851,115991,0
12518,115999.4286,0
7599,116000,0
7975,116054.3333,0
5609,116088.5,0
1321,116088.8333,0.17
6198,116092.1667,0.33
1914,116097,0.33
7591,116118.5,0.25
1525,116124.3333,0
970,116158.2857,0.14
3521,116208.8333,0
9498,116237.1667,0.17
4259,116342.25,0
6290,116344,0
5930,116399.5,0
6807,116406,0
4595,116406.5,0.25
11516,116409,0
4014,116464,0
7226,116468.8,0
13486,116502,0.25
4800,116548.6667,0.33
6164,116572.8,0
6794,116588.25,0.25
4600,116593.8,0.2
3514,116659,0.25
10004,116686.8,0.2
6168,116704.1667,0.33
13223,116706,0
1554,116759.4,0
4301,116850,0.13
3899,116882.2,0
3094,116934.8,0.2
373,117000,0
2238,117050.6,0
1883,117091.3333,0
12771,117091.6667,0.33
7408,117132,0
5565,117149,0.5
5826,117151,0.25
5805,117186.4286,0.14
3011,117187,0
12927,117196.25,0.25
4882,117222.5714,0.14
8560,117240.375,0.38
4210,117303.6,0
9407,117343.3333,0
3919,117394.6,0
349,117455,0
3281,117487.75,0.25
4601,117504,0
9799,117547.2857,0
5363,117547.4,0
7267,117553.3333,0
2677,117555.3333,0.33
7681,117556.5,0
4703,117583.2,0.4
5466,117603.3333,0
12707,117609,0.25
6890,117611.6667,0.17
4916,117679.4,0.2
13295,117694,0
606,117695.4,0.2
3871,117711.2,0
3138,117776.5,0.5
3075,117777,0.33
7126,117788.375,0.25
3758,117800.3333,0.11
4921,117802.1667,0
7422,117803.4,0
4555,117879.5,0.25
6888,117879.6667,0.17
8239,117892,0
9813,117892.5,0
7196,117901,0
5829,117914.25,0.25
3260,117952.8,0.2
7580,117988,0
5373,117991.5,0
9187,117992.6667,0
12900,118014.5,0
6443,118047,0
7415,118099,0.25
1286,118111.4286,0
13591,118172.75,0.25
1812,118195.2857,0
6017,118198.6667,0
4263,118200.6,0.2
7541,118238,0.25
9759,118240,0
355,118292.3333,0
13375,118326,0.25
13149,118333.6667,0
9453,118335.5,0
6872,118356.8,0.2
6972,118377.5,0
2471,118378.1667,0
12883,118426,0
8729,118461.3333,0.17
9545,118541.7143,0.14
5636,118552.5,0
5703,118567.1429,0.14
6149,118614,0
3041,118640.5,0
6136,118664,0
8720,118703,0
9601,118751.6667,0
1149,118777,0
390,118804.25,0
7142,118810.8,0.2
5129,118812.75,0.25
5568,118827,0
9321,118877.8,0.2
3954,118910,0.17
7214,118929,0
9426,118939.6,0.2
431,118999,0
9249,119056,0
6910,119158,0.33
7173,119161.8,0.2
7401,119225.5714,0
4844,119268.5,0.17
885,119279.5,0
4494,119279.6667,0.17
8146,119299,0
5811,119307.6,0.2
11609,119308.75,0.25
5011,119318.2,0.2
369,119336.5,0
862,119384.8,0
3304,119385,0
3174,119393.8571,0.14
4327,119396.875,0.13
9716,119401.8,0.2
7995,119473,0
4325,119494.8,0.2
3266,119500.2727,0
9053,119524,0
1489,119553.25,0
9996,119574,0.11
1606,119587,0.5
7974,119596.8,0
13091,119616.5,0
7458,119633.5,0
3388,119689,0
6809,119746,0
5256,119750,0.2
201,119797,0
6774,119867.6667,0
4516,119897.25,0
10068,119904.4,0.2
7586,119935.4,0.4
3719,119974.2,0
1730,119984.75,0.25
6926,120000,0
13527,120006.75,0.25
7167,120035.75,0
3891,120077.3846,0.08
4279,120111,0
9309,120115.5,0.17
275,120121.5,0.25
3276,120162.2,0.2
10002,120191.5,0.25
12776,120232.3333,0
2044,120234,0.25
1646,120248.8333,0.17
9368,120284.2,0.4
4270,120298.6,0
7744,120311.5,0.5
11524,120311.8571,0.14
1702,120315.25,0.25
5859,120350.5,0.25
4838,120372.6667,0.33
7678,120404.8571,0.29
4552,120406,0
12085,120413.6667,0
6640,120417,0
5697,120435,0
4223,120453.75,0.25
868,120454,0.33
6915,120464.7143,0.14
2100,120471,0.17
4121,120479.25,0
3181,120480.5,0
1284,120494.2,0.2
4776,120553.6667,0.17
3451,120584.8,0.2
4484,120592.3333,0.33
5803,120608,0
5492,120635.6667,0
5311,120653.3333,0
4496,120662,0.4
9300,120663.6667,0.33
5941,120678.2,0
436,120705.8,0.2
7613,120711,0
2874,120717,0.2
3176,120724.6667,0
6226,120725.5,0
5385,120753.4,0.2
6319,120775.6667,0.17
5113,120792,0
6826,120818.25,0.25
6110,120834.4,0.2
5474,120842,0
7596,120877.125,0.13
5382,120945,0
6430,121006.375,0.13
1604,121009.5,0.5
8009,121012,0
3390,121017.5,0.5
9981,121021.8,0
1110,121042.3333,0.33
8650,121043.5714,0.14
1845,121096,0.17
9815,121130,0
10784,121172,0.4
1522,121203.1429,0
1761,121215.5,0
1712,121263,0
9419,121293.6667,0.33
1931,121296.3333,0
6445,121308.6667,0.17
5957,121325,0
13526,121352.2,0.2
13391,121371.5,0.17
6722,121424.875,0.13
59,121453.3333,0.17
4630,121457,0
7044,121462,0.25
4369,121493.5,0
8441,121494.1667,0
1853,121563.5,0
1716,121579.125,0.13
4673,121580.8,0.2
3618,121594,0
13654,121597.75,0
3522,121606.75,0
4618,121624.3333,0.17
8671,121665,0
9181,121689.125,0.13
5987,121708,0.25
9162,121718.5,0
1851,121737.25,0
5833,121752,0.2
1849,121780.5,0
6569,121879,0.2
5755,121951.4,0.2
9359,121961.5,0
12445,122083.5714,0.14
364,122126.2857,0.14
8889,122134.5,0
4414,122135.25,0
2891,122141.3333,0.33
7179,122154.5,0
6044,122165.5,0
9887,122190.75,0
3302,122194,0
5922,122197.6667,0
8947,122221,0
2321,122229,0
5355,122232.6667,0
58,122252.8,0.2
3078,122287,0
6789,122287,0
1868,122294.4,0
4920,122304,0
2191,122352,0
733,122381.75,0.25
9024,122397.25,0
3347,122469.3333,0.17
5108,122476.5,0
8567,122524,0
6957,122548,0
3467,122620.8,0.2
1443,122625.75,0
8437,122673.25,0
3298,122682.8333,0.17
9922,122687,0
8048,122702,0
6615,122704.6667,0.33
9800,122712.2,0.2
4677,122721.25,0
753,122722,0
6894,122739,1
13788,122777.5,0
3635,122815.25,0.25
7559,122824.75,0
3786,122843.2,0.2
4636,122902.9,0
7929,122951,0
1944,122963.6,0.2
5012,123000,0
4724,123006.6667,0
6734,123013.75,0.25
5111,123023,0
4620,123025.5714,0.14
4392,123042,0
6247,123047.6667,0.17
3448,123087,0
6650,123105.8,0.2
2406,123119.625,0.13
9163,123161,0
8114,123163,0
11802,123168.6667,0
5303,123214.5,0.5
4460,123229.0909,0.09
