id,income,car,scooter
1,906975.5,0.5,0
2,257386,0.5,0.5
3,161876.6,0.4,0.6
4,90510.5,0,0
5,230833.6667,0.33,0.666666667
6,193873.5,0.5,0.5
7,167639,0,1
8,487512,0,1
9,172432,0.5,0
10,308260,0,1
11,163811.3333,0.33,0.666666667
12,414419,0.5,0
13,84144.5,0.5,0.5
14,542529.75,0.25,0.75
15,1225509,1,0
16,202588,0,0
17,656961,0.67,0.333333333
18,287909.5,0.5,1
19,376602.5,0.5,1
20,474251.5,0.5,0.75
21,645900.5,0.5,0.5
22,331730,0,0.5
23,102628.5,0,0.5
24,271256.5,0.33,0.5
25,457052,0,1
26,284119,0.5,0.5
27,372577,0.25,0.75
28,433790,0.5,1
29,567004,0.33,0
30,408048,0,0.5
31,360144.4,0.2,0.4
32,180068,0,1
33,251459.2,0.2,0.6
34,218423.3333,0.33,0.333333333
35,79085.5,0,0.5
36,56460.4,0,0.2
37,353823.5,0,0.5
38,251196.3333,0.33,0
39,98424,0.33,0.333333333
40,383888.6667,0.33,0.666666667
41,342429,0,1
42,343398.75,0.25,1
43,150930,0.17,0.333333333
44,212829.2,0.4,0.6
45,326489.25,0.25,1
46,182042.4,0,1
47,182298.2857,0.14,0.428571429
48,312001.5,0.33,0.666666667
49,181563,0.17,0.333333333
50,150783,0.25,1
51,117527.75,0.25,0.5
52,453071.5,0.25,1
53,627597.75,0.25,0.25
54,381085,0.5,0.5
55,508264,0.5,0.25
56,253242,0,0
57,427525.5,0.5,0.5
58,475672,0.5,1
59,859014.25,0.5,0
60,172739.8,0.2,0.6
61,428007,0.33,1.333333333
62,960570,1,0
63,675576.8,0.2,0.8
64,231772,0,1
65,445583,0.5,0.25
66,692935.5,0,1
67,607686.5,0.5,0.5
68,148767,0,0
69,332349.5,0.5,0
70,403034,1,0.5
71,249048,0,0
72,191179,0,1
73,110180,0,0.2
74,160498.5,0.17,0.666666667
75,415900.75,0.25,0.5
76,353909,0,0
77,420333.5,0,0.5
78,265468.8,0.2,0.8
79,98012,0,0
80,100839,0.33,0.666666667
81,309700,0,1
82,245788,0.5,0.5
83,394398,0.5,1
84,294140.3333,0.33,0.333333333
85,241774,0,1
86,342843,0.5,0.5
87,324615.6667,0.33,0.666666667
88,203697.3333,0,0.666666667
89,526540,0.5,0.5
90,267269.25,0.25,0.5
91,229256.6,0.2,0.4
92,2661809,1,1
93,355052.3333,0,0.666666667
94,512034.3333,0,0.666666667
95,455813.3333,0.67,0.666666667
96,901956,0,0
97,421879,0.5,0.5
98,473491,1,1
99,403106.3333,0.33,0.333333333
100,694806.3333,0,0.666666667
101,504315,0.33,0.666666667
102,745590.6667,0.33,1
103,612097.3333,0.33,1
104,252469.75,0.25,0.5
105,274444.5,0,0.5
106,657127.5,0.5,1
107,637154.5,0.5,1
108,280109.3333,0.33,1
109,230708,0,1
110,228440.5,0.5,0
111,208697.5,0,0.5
112,419296,0.33,0.666666667
113,237044,0,1
114,210795,0,1
115,620668,0,0
116,614114.6667,0.33,0
117,261246.25,0.25,0.5
118,444409,0.33,0.666666667
119,276896.5,0.25,0.5
120,261277.8333,0.17,0.333333333
121,223290.5,0,0.5
122,278270.5,0.17,0.333333333
123,492966,0.25,0.5
124,322668,0,1
125,282488.5,0,0
126,160759.5,0,0.5
127,194178.5,0.25,0.25
128,763660.3333,0.67,0.666666667
129,243099,0,0.333333333
130,376451.5,0,0.5
131,433296.6667,0.33,0.666666667
132,597276.25,0.25,0.75
133,712339,0.33,0.333333333
134,673356.5,0.5,0.5
135,267016.4,0.2,0.2
136,254228.6667,0.33,0.333333333
137,624411,0.5,1
138,545646.25,0.25,0.75
139,453104.75,0.25,0.5
140,771624,0.67,0.333333333
141,674136,0,1
142,399047.5,0.25,0.5
143,474341,0,0.5
144,480920.25,0.25,1
145,794707,0,1
146,709935.3333,0.33,0.333333333
147,424918.6667,0.67,0.333333333
148,199672,0.33,0.666666667
149,522321.5,0.5,0.5
150,402904,0.5,0.5
151,359804,0.33,0.666666667
152,557804,0,0.5
153,250546.5,0.5,0.5
154,275837,0.5,0.5
155,330434,0,0.75
156,239859,1,0
157,315762,0,0.5
158,235127,0,1
159,332590.3333,0.33,0.333333333
160,311639,0.5,0.5
161,474080,0.5,0
162,237826.6,0.2,0.4
163,438076.5,0.5,1
164,253912,0.33,0.333333333
165,240133,0,1
166,250802,0.67,1
167,154948.5,0.5,0.5
168,520867,0.33,1
169,223350,0,0.5
170,240438,0,0
171,373068,0,0
172,75004,0,0.5
173,339841,0,1
174,161423,0,0.5
175,137078.5,0.5,0
176,226199,0.5,0
177,270184,0,0
178,627861,1,1
179,248828,0.5,0.5
180,349829.5,0,0.5
181,703990.5,0,0.5
182,192819,1,0
183,168539.1667,0.33,0.166666667
184,205266.5,0.25,0.5
185,245002,0,0.5
186,288927.3333,0,0.666666667
187,299022,0.5,1
188,259585,0.25,0.25
189,233849,0,0.5
190,293591.5,0.5,1
191,254032.6667,0.33,0.333333333
192,340305,0,1
193,146985,0,1
194,434057,0,1
195,300323,1,0
196,218655.8571,0.14,0.285714286
197,557293,1,1
198,195009.2857,0.14,0.571428571
199,156336.5,0,0.5
200,284279.5,0.5,0.5
201,164964.5,0,1
202,270562.75,0.25,0.25
203,79019.33333,0,0.666666667
204,521174.5,0.5,0.5
205,257360,0,1
206,232953,0.2,0.4
207,185743,0.5,0
208,397509,0.5,0
209,237852,0,1
210,233612.3333,0.33,0.333333333
211,290686,0,1
212,176896.3333,0.33,1
213,198586,0,0.5
214,544260,0,1
215,382497.5,0,0.5
216,272526.5,0,1
217,229949,0,1
218,1025050,1,1
219,191859.8,0.2,0.4
220,422866,0.25,0.25
221,244966,0.67,0.666666667
222,243541.2,0.2,0.4
223,1270917.5,0.5,0.5
224,319950.3333,0.33,0.666666667
225,298839,0.25,0.25
226,561948,0.5,0.5
227,185966,0.33,0.666666667
228,178691,0.5,0
229,191411.5,0,0
230,293842,0,0
231,120454,0,1
232,288341.75,0.25,0.5
233,745301,1,1
234,154861.75,0.25,0
235,455546,0.25,0.75
236,415153.5,0,1
237,151923.2,0.2,0.6
238,283790,1,1
239,293328,0,1
240,226505.3333,0.33,0.333333333
241,153082.3333,0.33,0.333333333
242,209773.3333,0.33,0.666666667
243,144710.5,0,0.5
244,141908.3333,0,0
245,208420.5,0,0.5
246,203587.25,0.25,0.75
247,310790.4,0.4,0.4
248,239238.6667,0,1
249,173830,0,1
250,310092.3333,0.33,0.333333333
251,310114.6667,0.33,0.333333333
252,199129.5,0,1
253,278163.4,0.2,0.2
254,115584,0.25,0.25
255,277478,0.33,0.333333333
256,205973,0,1
257,534483,0.5,0.5
258,203334,0,0
259,290001.5,0.5,0.5
260,175945,0.5,0.5
261,343564,0.5,0.5
262,110335,0,0.5
263,153927,0,1
264,420179,0.5,1.5
265,156191.6667,0.33,0.666666667
266,200124.5,0,0.5
267,180218,0.5,0.5
268,463942,1,0
269,138710,0,1
270,209717.3333,0.33,0.666666667
271,177883,0.25,0.25
272,173714.75,0.25,0.25
273,200423.5,0,1
274,132008,0,0.8
275,267844.3333,0.17,0.5
276,3669113.333,0.67,1.666666667
277,230406,0,1
278,269551,0.4,0.8
279,330310,0,0.333333333
280,156646,0,0
281,211640.3333,0.11,0.666666667
282,90089.375,0.13,0.25
283,298594.75,0.25,0.5
284,161648.6667,0.33,0.333333333
285,243603.4,0.2,0.4
286,224995.7143,0.14,0.285714286
287,168896.4,0.2,0.4
288,189310,0,0
289,111264.5,0,1
290,220216,1,1
291,199629.5,0,1
292,217594,0.5,1
293,421932,0,0
294,188969.3333,0.67,0.666666667
295,475559,0.5,0
296,238388,0,0.5
297,247927.5,0.5,0.333333333
298,192081,0.5,0.5
299,155631,0,0.333333333
300,250085,0.67,0.666666667
301,376258.5,0.5,0.5
302,135987,0,1
303,273219,0.25,0.75
304,341556.5,0,0.5
305,270835.5,0,0.5
306,204312.75,0.25,1
307,177892.4,0.2,0.6
308,105884,0,1
309,306030.5,0,0.5
310,294507.3333,0.33,1
311,337803.3333,0,0.666666667
312,112918.5,0,0.5
313,189753,0.25,0.75
314,110335,0,0.2
315,182917.25,0.5,0.5
316,430173.4,0.4,0.4
317,502397,0,1
318,250871.5,0,1
319,362009.5,0,0
320,242204.5,0.5,0.5
321,184055,0,0.5
322,208285.25,0.5,0.25
323,158845.6667,0,0.333333333
324,347122,0,1
325,166706.2,0.2,0.4
326,196691.25,0.25,0.25
327,398108.3333,0.33,0.333333333
328,538421,1,0
329,204483,0,1
330,291489,0,1
331,179798.6,0.2,0.4
332,371706.3333,0.67,0.333333333
333,258721.75,0,0.5
334,175422,0,1
335,290703.5,0.25,0.25
336,168969.5,0.25,0.25
337,223927.5,0,0.5
338,330871,0.5,0
339,232488,0,1
340,350004,0,1
341,493504,0.5,0
342,461786,1,1
343,470921,0.5,0.5
344,248420.5714,0.29,0.428571429
345,314679,0,0.75
346,217287.2,0.2,0.4
347,138814.75,0,0.5
348,285118.1667,0.17,0.5
349,155113,0,0.5
350,224193.5,0.5,1
351,572521.5,0.5,0.5
352,168689.5,0.5,0.5
353,185757.4286,0.29,0.285714286
354,107572.6667,0.33,0
355,319293.3333,0.33,1
356,714144.5,0.5,0.75
357,256780,0.33,0.333333333
358,240275.6,0.2,0.2
359,244362,0.67,0
360,282473,0.33,0.666666667
361,415850.75,0.25,0.5
362,209779.6,0.2,0.8
363,241604.75,0.25,0.5
364,493711,1,0.5
365,751163.3333,0.33,0.333333333
366,245365.8889,0.11,0.444444444
367,486034.5,0.5,1
368,460393,1,1
369,247738,0.5,1
370,251551.6667,0.33,0.666666667
371,695151,0.5,0.75
372,505168,0,1
373,170380,0,1
374,494519.625,0.38,0.375
375,123989,0.33,0.666666667
376,394321,1,1
377,295102.3333,0.33,0.666666667
378,285060.4,0.4,0.8
379,409607.6667,0.67,0.333333333
380,301548.25,0.25,1
381,215730.5,0,0.5
382,165954,0,1
383,209957,0,1
384,273530.3333,0.67,0.666666667
385,260403.5,0,1
386,161435.25,0.25,0.25
387,864749,1.5,1
388,669270,0.67,0.666666667
389,397041,0.33,1
390,370081.6,0.4,0.6
391,204756.6667,0.33,0.333333333
392,188195.5,0.17,0.166666667
393,229438,0.25,0.25
394,214102,0,0.5
395,170802,1,1
396,143174.5,0,0.5
397,360089,0.5,1
398,352180.6667,0.33,0.666666667
399,36422,1,0
400,442342,0,0.5
401,566013.75,0.25,0.5
402,194906.25,0.25,0.5
403,125367.5,0,0.5
404,210108.5,0.25,0.5
405,221303.5,0.5,1
406,155754.5,0,1
407,431751.6667,0.67,0
408,525998.5,0.5,0.5
409,364752,0,0
410,562401.5,0.25,0.5
411,165593.5,0.5,0.5
412,142831.3333,0.33,0.666666667
413,279230.5714,0.29,0.714285714
414,275454,1,0
415,632524,0,1
416,848524.5,0.5,0.5
417,370307.2,0.6,0.4
418,260416.5,0.17,0.5
419,285674,0.25,1
420,293473.5,0.25,0.5
421,335978,0,1
422,403882.5,1,0.5
423,311176.4,0.4,0.4
424,273958.8571,0.14,0.428571429
425,535976.5,1,0.5
426,205351,0.17,0.166666667
427,172316,0.25,0.5
428,442231,0.5,0.5
429,141867.4,0.2,0.2
430,204934.5,0,0
431,384856.5,0.33,0.333333333
432,184493,0,1
433,571506,0,0
434,946496,1,0
435,253486,0,0.333333333
436,267992,0,0.5
437,163690,0.5,1
438,170357,0,1
439,200100.5,0.5,0.5
440,449165.5,0.5,1
441,186386,0,0.333333333
442,205777.5,0.5,0.5
443,387508.5,0.5,0
444,335865.5,0.25,0.75
445,237365,0,0
446,187927.6667,0.33,0
447,146914.4,0.2,0.4
448,180384,0,0
449,210010.5,0.5,0.5
450,354493.5,0.5,0.5
451,561579.5,0.5,0.5
452,996007.75,0.5,0.75
453,339203.5,0,1
454,214518.3333,0.33,0.666666667
455,187560.5,0.5,1
456,432303,0.5,0.5
457,266346.3333,0.33,0.666666667
458,147621.5,0,1
459,461260.5,0.5,0.25
460,174782,1,0
461,176319.5,0.5,0.5
462,426939.3333,0,0.333333333
463,220030.3333,0.67,0
464,338080.5,0.5,0.5
465,235091.5,0,0
466,67906,0.5,0.5
467,143377,0.67,0.333333333
