id,income,car,scooter
1,195491,0,0
2,332521.3333,0,1
3,183536,1,0
4,328613,0,0
5,355492,0,1
6,422775,0.5,1
7,245170,0.17,0.5
8,137595,0,0.5
9,127309,0,1
10,154875.5,0,0.5
11,113084,0,1
12,179835.6667,0.33,0.333333333
13,147534,0,1
14,143789.75,0.25,0.5
15,229051.5,0.25,0.5
16,227957.6667,0.33,1
17,222184,0.33,0.666666667
18,406615.25,0.25,0.25
19,250366,0.33,0.666666667
20,681994.5,0.5,0.5
21,439930,0.33,0.333333333
22,135037,0.5,0.5
23,275877.5,0,1
24,426328.25,0.5,0.5
25,231290,0,0
26,218156,1,0.5
27,252616.5,0.5,1
28,215462.5,0,0.5
29,165675,0,0.5
30,162933.3333,0,0.333333333
31,270881.8,0.2,0.4
32,132662.5,0.5,0
33,244082.8333,0.17,0.5
34,670269,1,1
35,294922.7143,0.43,0.428571429
36,343701,1,1
37,318995,1,1
38,287188.6667,0.33,0.666666667
39,291917.25,0.25,0.5
40,233248,0.5,0.75
41,176926.3333,0.67,0.333333333
42,135017,0,0
43,369498,1,1
44,338143,0.5,0.5
45,138106,0,0.4
46,189722.5,0,0
47,166638.8333,0.17,0
48,139508.8571,0.29,0.285714286
49,275877,0.5,0
50,269045.6667,0,0.666666667
51,109418,0,0.5
52,245623.2,0.4,0.4
53,824159,0.5,0.5
54,2230858,1,0
55,341491.5,0.5,0
56,374924.5,0,1
57,326872,0,0.5
58,396231,1,1
59,373512.75,0.25,0.25
60,533726.3333,0.67,0.666666667
61,449035.6667,0.33,0.666666667
62,563838.5,1,0.5
63,307743.25,0.5,0.25
64,385953.75,0.25,0.25
65,300860,0,1
66,485474.25,0.5,0.75
67,463456.75,0.5,0.25
68,146597.5,0,1
69,243689,0.5,0.5
70,247608.4,0.4,0.2
71,304086,1,0.5
72,277619.3333,0,0.333333333
73,464399.5,0.25,0.25
74,173100,0,0.5
75,594655.25,0.25,0.5
76,361328.3333,0.67,0.666666667
77,390856,0,1
78,122872.5,0,0.5
79,264515,0.33,0.333333333
80,248121.6667,0.17,0.333333333
81,185770.5,1,1
82,272094.3333,0.33,0.333333333
83,432315,0.5,1
84,252762,0,1
85,105421,0.5,0.5
86,212447,0,1
87,189132,0,1
88,161257,1,1
89,198273.5,0.25,0.5
90,96656.5,0,0.5
91,250303.3333,0,0.666666667
92,839908,0,0
93,778701,0.33,0.333333333
94,638261,0,0.5
95,257319.1667,0,0.5
96,1116310,1,1
