id,income,car,scooter
1,285045,0.5,0.5
2,470332.5,0.5,1
3,211929.5,0,0.5
4,361127,0.2,0.4
5,316489.5,0,1
6,108292,0,0.5
7,354910,0.25,0.5
8,520334,0.5,1
9,484285.5,0,0.5
10,289226.5,0,0.5
11,180437.5,0,0
12,441226,0,0
13,746794,0.5,0.5
14,189661.3333,0.333333333,0.333333333
15,212610,0.5,1
16,178641,0,0
17,196443,0.5,0
18,237081.3333,0,0.666666667
19,436773.6,0.4,0.6
20,213445.6667,0.333333333,0.666666667
21,470730.6667,0.333333333,1
22,250240.3333,0.166666667,0.5
23,307126.75,0.375,0.375
24,510229.6667,0.333333333,1
25,254912.5,0,0.5
26,390532.8,0.4,0.6
27,578800.6667,0.333333333,0.666666667
28,262739.3333,0.5,0.166666667
29,292548.8,0.2,1
30,411695.5,0,0.75
31,187572,0.5,1
32,269056.8571,0.142857143,0.571428571
33,155844.7143,0.142857143,0.428571429
34,357938.5,0,0
35,320327,0,1
36,531191,1,1
37,1023631.75,1,1
38,280497.25,0.5,0.5
39,382227,0,0
40,202175.5,0.5,1
41,476737,0.5,1
42,307613,0,0
43,429076,0,1
44,300502,0,0.5
45,233578,0,0
46,175089.5,0.5,1
47,157906,0,1
48,162569,0,0
49,263769,0,0.5
50,134825,0,0
51,244831.1667,0.166666667,0.333333333
52,219820,0,0
53,384114,0.25,0.5
54,277713.5,0.25,0.5
55,385611,0,1
56,261339,0.25,0.5
57,271424.3333,0,0.333333333
58,705000.5,0.5,0.5
59,369547,0.25,0.5
60,257491,0,0.5
61,240590.25,0,0.25
62,248528.25,0.25,0.25
63,307456.4,0.2,0.4
64,251748.6,0.4,0.4
65,450297,1,1
66,236973.6,0.2,0.2
67,525993.5,0.5,1
68,188249,0.2,0.4
69,853015,1,1
70,303495.5,0.25,0.75
71,571786.5,0,0
72,262371,0.333333333,0.666666667
73,298324.6667,0.333333333,1
74,359728.75,0,0.75
75,486281,0,0.5
76,271215.6667,0.333333333,0.666666667
77,344228,0,0
78,238283,0,0
79,208101,0,0
80,379406.25,0.25,0.5
81,487362,0.5,0.5
82,607880,1,0.666666667
83,155921.5,0,0
84,381704,0.333333333,0.666666667
85,283329.3333,0.333333333,0.333333333
86,279165.8,0.2,0.4
87,301904,0,1
88,335436,1,0
89,240150,0,0.5
90,483332,0.25,0.75
91,353924,0,1
92,294342,0,0
93,344409,0,1
94,365586.5,0.5,0.5
95,178989.5,0.5,1
96,1277404,1,0
97,479453.5,0.25,1
98,319672.3333,0.333333333,0.333333333
99,293826,0,0
100,175340,0.5,0.5
101,223553.5,0.25,0
102,626948.2,0.4,0.6
103,1039642,0.5,0.5
104,377227.6667,0.333333333,1
105,292027,1,0
106,468038,0.5,0.5
107,258000.5,0,1
108,225746.3333,0,0.666666667
109,598971.5,0.5,0.5
110,456286,1,0.25
111,175111,0,0.25
112,518438,0.5,0.5
113,532003.25,0.5,0.5
114,552698.3333,0.333333333,0.333333333
115,672981,0.5,0
116,476075,0,1
117,205829,0,1
118,442026.25,0.25,0.25
119,595728,0,1
120,444358,0,0.5
121,336585.6,0.4,0.6
122,740408.3333,1,0.333333333
123,286327.5,0.5,0.5
124,320664.25,0.75,0.75
125,269540,0.5,0.25
126,564929.3333,0.666666667,0.666666667
127,778751,1,0.5
128,576425.5,1,0.5
129,395374,0.5,0
130,196853.5,0,0.5
131,585197,1,0.5
132,157995.2,0.1,0
133,197143.6667,0.166666667,0.166666667
134,175069.2,0.2,0.2
135,247612.3333,0,0.333333333
136,1130440.333,0.666666667,0.666666667
137,391099,1,1
138,531842,0,1
139,563340.8,0.4,0.6
140,234710.1667,0.166666667,0.5
141,421511,0.25,0.75
142,376409,0,0.75
143,700143.5,0.5,1
144,466969,0.5,0.5
145,840554,0.5,1
146,636443,0.5,1
147,1183823,0.333333333,0.333333333
148,300361.7143,0.428571429,0.571428571
149,458486,0,1
150,336051,0.333333333,0.5
151,230498,0,1
152,370616.6,0.2,0.4
153,334710.6667,0.333333333,0.333333333
154,340900.6667,0.333333333,0.666666667
155,1128331,1,0.5
156,166806,0,0.5
157,371234,0,0
158,478491,0.5,1
159,167710.5,0,0
160,363087,0,1
161,286537,0,1
162,382193.8,0.2,0.4
163,338967.6667,0.333333333,1
164,400889.3333,0.666666667,1
165,207073.6667,0.333333333,0.666666667
166,559366.5,0.5,1
167,482489.5,0,0
168,529436.5,0.5,0
169,616986.6667,0.333333333,0.666666667
170,512009.6667,0.333333333,0.666666667
171,536863.8,0.4,0.6
172,223408,1,1
173,338863.3333,0.333333333,0.666666667
174,153870,0,0.5
175,438240,0.5,0.5
176,333297.25,0.25,0.5
177,149771.5,0,1
178,288818.75,0,0.75
179,63912,0.5,0.5
180,268999,0,1
181,364046.5,0,1
182,454023.5,0,0.5
183,300955.75,0.25,1
184,264205,0,0.666666667
185,156131.8333,0.166666667,0.666666667
186,319440,0.25,0.5
187,763981,0.5,1
188,579001.6667,0.333333333,0.666666667
189,673575,1,1
190,578924.5,0.5,1
191,176614.5,0.5,0.5
192,381923.5,0.5,0.5
193,309617.3333,0.333333333,1
194,219852,0,1
195,327149,1,0.333333333
196,530515,0,0.5
197,634682,0,0
198,409963,0,0.5
199,243915.1667,0,0.5
200,335794.6667,0.666666667,1
201,333380.2,0.2,0.2
202,230755,0,1
203,251713,0,0
204,487274,0,1
205,187248,0.5,0.5
206,285994.75,0.25,0.25
207,413637.5,0.5,0.5
208,390192.5,0,0
209,218138.5,0.5,0.5
210,714215,0.25,0.5
211,226137,0.333333333,0.5
212,296490,0.5,1
213,306151,0.166666667,0.5
214,400722.5,0.25,0.25
215,337472,0.5,0.5
216,381626.3333,0,0.666666667
217,332514.75,0.25,0.5
218,293129,0,0
219,821584,0.333333333,1
220,656817.75,0.25,0.5
221,282011.7143,0.285714286,0.571428571
222,585543.5,0.5,1
223,368092.6667,0,1
224,326065.5,0,0.5
225,984851.3333,0.333333333,0.666666667
226,229758.3333,0,0
227,237381.5,0,0.5
228,485130.5,0,0.5
229,1060019.5,0.5,0.5
230,361405,0.5,1
231,216571,0,0.666666667
232,393932.6667,0.333333333,0.333333333
233,765700.6667,0,1
234,288634.6667,0,0.333333333
235,612389,0,1
236,338367.5,0.5,1
237,708064,0.25,0.5
238,1083257,1,1
239,1970650,1,0
240,798148,0.25,0.5
241,314024.6667,0.333333333,0.333333333
242,399752.5,0.166666667,0.333333333
243,439657,0.5,0.5
244,417489,0,0.5
245,475007.2,0.2,0.4
246,287253.5,0,0
247,437222.75,0.25,0.25
248,296070.5,0,0.5
249,1057598.5,0.5,0.5
250,601787.5,0.5,0.5
251,508207.5,0.5,0.5
252,350776.75,0.25,0.25
253,607198,0,0.5
254,427275.4,0.2,0.4
255,464571,0.25,0.5
256,393464.6667,0.333333333,0.666666667
257,1152283,0.333333333,0.666666667
258,280020,0,0.5
259,506083,0.5,0.5
260,1099988.5,0.5,1
261,783304.375,0.375,0.375
262,405937,0,0
263,603515.3333,0.333333333,0.666666667
264,430080.6667,0.333333333,0.666666667
265,261752,0.5,0.5
266,466488,0.5,0.5
267,639448.5,0.5,0.5
268,544694,0,0
269,263770.5,0,0.5
270,345241.25,0.25,0.25
271,412865,0.5,1
272,212757,0,0
273,287992,0,0
274,554019.3333,0.333333333,0.333333333
275,329745.5,0.5,0
276,600693.5,0.5,0.5
277,278245.6667,0.333333333,1
278,358709.5,0.5,0.5
279,479210,0.5,0.5
280,551762.6667,0.333333333,0.666666667
281,187031,0.5,1
282,294720,0,0
283,304347.2,0.2,0.2
284,176354.5,0,1.5
285,378683,0.25,0.5
286,374336.5,0,0
287,459102,0,1
288,396821,0.5,0
289,335923.75,0.75,0.5
290,324007.5,0.5,0.333333333
291,469996,0.5,0.5
292,296718.6667,0.333333333,0.333333333
293,300468.6667,0.333333333,0.333333333
294,404471,0.2,0.4
295,341834,0.666666667,0.333333333
296,609916,0.333333333,0.666666667
297,865239.3333,0.333333333,1
298,448683.5,0.5,0.75
299,356908,0,1
300,420950,1,0.5
301,414936.5,0.5,0.5
302,254398.25,0.25,0.5
303,609296,1,0
304,639891.5,0.5,0.25
305,322216.3333,0.333333333,0.333333333
306,530310.8,0.4,0.6
307,207426,0,0.5
308,604007,1,1
309,337531.3333,0.333333333,1
310,331730.3333,0.333333333,0.666666667
311,374987,0.5,1
312,284229.6667,0,0.666666667
313,250226.25,0.25,0.75
314,226466,0,0
315,265279.5,0.5,0.5
316,555668,0,0.5
317,241678,0,1
318,362937.6667,0.333333333,0.666666667
319,343287.5,0,1
320,286330.2,0.2,0.8
321,305703,0.333333333,0.666666667
322,661166.25,0.5,0.25
323,230422,0.2,0.4
324,205444,0,1
325,173515.3333,0,0.666666667
326,515029,0.333333333,0.666666667
327,800036,1,1
328,488488.6667,0.666666667,0.666666667
329,497867.6667,0.333333333,0
330,210276.4,0.2,0.2
331,178611,0,0
332,413029,0.5,0.5
333,234833,1,1
334,408017,0,1
335,338699.6667,0.333333333,1
336,195520.6667,0,0.333333333
337,423868.5,0,1
338,677307.3333,0.666666667,1
339,249705,0,0
340,398944,0,1
341,158338,0.333333333,0.333333333
342,540842,0.5,1
343,430646,1,1
344,255382,0,1
345,341979,0.333333333,0.333333333
346,209195.5,0,0.5
347,386490,1,1
348,210056.5,0,0
349,549439.3333,0.333333333,0.333333333
350,424484,0.5,0.5
351,229516.6667,0.333333333,0.5
352,341938.6,0.4,0.2
353,455263.25,0.5,0.25
354,393625.3333,0.333333333,0.333333333
355,128449,0,0
356,564161.5,0.5,0.5
357,205832.75,0.25,0.25
358,290450.4,0.4,0.6
359,355738.75,0,0.25
360,467056.2,0.4,0.4
361,258253.5,0.5,0.5
362,199534.5,0.5,0
363,470518.875,0.625,0.875
364,507537.3333,0.333333333,1
365,463072.5,0.5,0.5
366,227457.25,0,0.75
367,803329.5,0.5,0.5
368,167210,0.2,0
369,593049.3333,1,0.666666667
370,265938,0.4,0.6
371,200295,1,0
372,364061.5,0.333333333,0.5
373,658438.5,0,1
374,754312,1,1
375,158586,0.5,0
376,357756.5,1,0.5
377,875361,1,1
378,238952.6667,0.333333333,0.333333333
379,275583.5,0,0.5
380,152300.5,1,1
381,135598.5,0.5,0.5
382,618541,0,2
383,427749,0.5,0.5
384,1083559.5,0,1
385,176893,0.333333333,0.666666667
386,735021.5,1,0
387,437269,0,0
388,750071.75,0.25,0
389,436083,0.5,0.5
390,311608,0,1
391,313061,0,0
392,478765.5,0.25,0.5
393,614525.5,0.25,0.25
394,528484.25,0.5,0.5
395,325262,0.333333333,0
396,488875.25,0.25,0.5
397,322422.6667,0,0.333333333
398,379603,0,1
399,463740.5,0.25,0.5
400,451409.5,0.5,1
401,630774,0.5,1
402,620679,0.5,0.5
403,768403,0.666666667,1
404,376541.75,0.25,0.5
405,346324,0,1
406,493185,0,1
407,307182.8,0.2,0.4
408,432154.1667,0.166666667,0
409,1092510.667,0.666666667,0.333333333
410,361583.3333,0.333333333,0.666666667
411,322611.6667,0,0.333333333
412,607332.8,0.4,0.6
413,273986,0,0.5
414,277114.4,0.4,0.4
415,608542.6,0.4,0.6
416,493226.8333,0.333333333,0.333333333
417,564384.1667,0.333333333,0.833333333
418,422563.2857,0.142857143,0.428571429
419,446183.25,1,0.5
420,1430189.667,1,1.666666667
421,240099.625,0.125,0.625
422,337270.4,0.4,0.4
423,316597.5,0.25,0.75
424,619912.3333,0.333333333,0.666666667
425,457777.4,0.4,0.4
426,465003.25,0.5,0.25
427,244905.75,0.25,0.25
428,377414,1,0
429,321643,0.333333333,0.666666667
430,519668.2,0.4,0.2
431,228868,0,1
432,591325,1,1
433,376483.3333,0.666666667,0.333333333
434,262270,0.5,1
435,309544,0,1
436,239686.3333,0.333333333,0.166666667
437,578828,1,1
438,350889.3333,0.333333333,0.5
439,213346.6667,0.166666667,0.166666667
440,475222,0.285714286,0.285714286
441,374885.2,0.2,0.6
442,206443,0,0
443,312883.5,0,1
444,277008,0,0
445,1640470.5,0.5,0.5
446,353711.3333,0.333333333,0.666666667
447,301790.4286,0.285714286,0.571428571
448,229841.5,0,0
449,242178.3333,0,0.666666667
450,478829,0,1
451,227156.3333,0.5,0.666666667
452,533988,0.5,1
453,344905.5,0.25,0.25
454,185633,0,0
455,851114.5,0.5,0.5
456,282399.6667,0.333333333,0.666666667
457,329878.8,0.4,0.8
458,412656.5,0.5,0.5
459,1157794,0.5,0
460,325674.1667,0.333333333,0.333333333
461,1130976.5,0.5,0.5
462,188339.8333,0.166666667,0.166666667
463,678349.8,0.4,0.2
464,300439,0,0
465,356916.2,0.4,0.4
466,237562.75,0.25,0.5
467,395325,0.333333333,0.666666667
468,308583.5,0,0.5
469,370025,0.25,0.25
470,718317.5,0.5,0.5
471,436746.6667,0,0.333333333
472,529046,0.666666667,0.666666667
473,439306,0.333333333,0.666666667
474,262656.5,0.166666667,0.5
475,805740,0,1
476,335112.3333,0,0.666666667
477,250249,0,1
478,624320.25,0.25,1
479,2176442,1,0
480,750662.5,0.5,1
481,118607,0.4,0.8
482,422173,0.333333333,0.666666667
483,562663,0.5,0.5
484,504524.3333,0.333333333,0.666666667
485,502960,0.25,1
486,824468,0.5,0.5
487,188186,0.333333333,0
488,388441.75,0.25,0.75
489,297744,0,1
490,561495,1,1
491,357296,0.5,0
492,265282.3333,0,0.166666667
493,395116.6667,0.666666667,0.666666667
494,269280,0.2,0.2
495,270157.5,0.5,1
496,987051,1,1
497,568165.5,0.5,1.5
498,549062.5,0.5,0
499,427240,0,0.5
500,294392,0.75,0.75
501,244631.8,0.2,0.2
502,367570,0.5,0
503,306781,0.2,0.4
504,187381.5,0,0.5
505,345576.75,0.25,0.5
506,314749,0.25,0.25
507,282009.5,0.25,0.25
508,375852.5,0.5,0.5
509,642395.8,0.4,0.4
510,266306.5,0.333333333,0.666666667
511,446332.25,0.25,0.75
512,2073401.5,0.5,0.5
513,250589.5,0.25,0.25
514,338375.3333,0.333333333,0.333333333
515,379045,0.5,0.5
516,238338.5,0,0.5
517,375127.375,0.375,0.375
518,648859,0.666666667,0.333333333
519,460356.5,0.25,0.75
520,332202,0,1
521,410667,0,1
522,325266,1,0
523,334660.6667,0.333333333,0.333333333
524,361421.3333,0.333333333,0.666666667
525,488302.25,0.25,0.25
526,386787,0.333333333,0
527,211090.5,0,0.5
528,443821.75,0.25,0.5
529,152130,0,0
530,745771,0.5,1
531,187741,0,1
532,197251,0.5,0.5
533,344963.3333,0.333333333,0.666666667
534,245655.6,0.2,0.2
535,299006.3333,0.166666667,0.5
536,437732.6667,0.333333333,0.666666667
537,482768.5,0,1
538,212089,0.5,0.5
539,337902.3333,0.333333333,0.333333333
540,304038,0.25,0.5
541,345628,0.5,1
542,177397,0,0.5
543,179907.7143,0.142857143,0.428571429
544,259920.25,0.5,0.25
545,226517,0.5,0.5
546,180895.5,0,0.5
547,308913.4,0.2,0.4
548,409735.75,0.75,0.75
549,1459908,2,1
550,491418.75,0.25,1
551,870306.25,0.25,0.75
552,325432,0,1
553,177030,1,0
554,574357,0.5,1
555,323130.25,0.5,0.25
556,437854,0,1
557,738953.5,1,0
558,216638,0.2,0
559,529225.8571,0.428571429,0.142857143
560,290623,0.285714286,0.285714286
561,78086,0,0
562,55880,0,0.5
563,436795,0.5,0.5
564,222938.75,0.5,0.25
565,892922,1,1
566,188327.6667,0.333333333,1
567,617499,0,0.5
568,254510.5,0.25,0.25
569,1647207.5,1,0.5
570,722242,0.333333333,0.333333333
571,900290,1,0
572,291902.3333,0,0.666666667
573,283098.3333,0.5,0.333333333
574,202212,0,1
575,538504.25,0.5,0.25
576,203317,0,1
577,606875.3333,0.333333333,0.333333333
578,250562,0,0.333333333
579,429672.6667,0.333333333,0.666666667
580,545326.5,0.5,1
581,541714.6667,0.333333333,0.333333333
582,198934,1,1
583,140724,1,0
584,566900,0.5,0.25
585,186494.5,0,0
586,438759,0,0.5
587,505569,1,0.5
588,391205,0.666666667,1
589,768157,1,1
590,221894,0,0.5
591,805127.6,0.6,0.8
592,887803,1,1
593,517735,0.5,0.5
594,521735.75,0.25,0.5
595,2056595.5,1,0
596,855155,0.666666667,0.333333333
597,425357.25,0.75,0.5
598,1755468,1,1
599,259444,0,0.333333333
600,2481484,1,0
601,410611,0.5,0
602,808920,0,1
603,858242.2,0.4,0
604,603835.25,0.5,0
605,920997,0.5,0
606,2415222,1,1
607,567852.5,0.5,0.25
608,852780.25,0.5,0.25
609,266889.3333,0.666666667,0
610,547472.5,0.5,0.5
611,926573.5,0.5,0.25
612,1348997,0.25,0.25
613,1138677.5,0.5,0.5
614,1849012.5,0.5,1
615,1290965.5,1,0.5
616,1151593,0.25,0.75
617,2377011,0.5,0
618,1010004.25,0.5,0.25
619,1103540.5,0.5,0
620,557188,0.5,0.5
621,125815,0.5,0.5
622,1082399,0.4,0.2
623,912771.75,0.5,0.25
624,791566.75,0.5,0.5
625,719226,1,0
626,697057.5,0.5,0
627,759368.5,0.25,0.5
628,639161.6667,0.333333333,0.333333333
629,533922.6,0.2,0.8
630,87036.5,0.5,0
631,306915.5,0.5,0.5
632,531647.5,0.25,0.75
633,871589.3333,0.666666667,0
634,1451782.667,0.333333333,0.666666667
635,1174301.333,0.666666667,0.666666667
636,804566,1,1
637,371472.3333,0.333333333,0.333333333
638,990769,0.666666667,0.333333333
639,576871.75,0,0.75
640,271672.3333,0.333333333,0.333333333
641,362475.1111,0.333333333,0.222222222
642,260359,0,0
643,2407424.5,1,0
644,416943.5,0.5,0.75
645,237723.6667,0.333333333,0.666666667
646,725239,0.5,0.5
647,1668129.667,1.333333333,0
648,2763614.333,1,1
649,800306.25,0.5,0
650,433854.5,1,1
651,551039.6667,0.666666667,0.666666667
652,549312.5,0.5,1
