id,income,car,scooter
1,170958,0,0.666666667
2,283169,0,0.5
3,168822,0,0.666666667
4,342846,0.5,0.5
5,203819,0,0.333333333
6,291972,0.67,0.333333333
7,253258,0.2,0.2
8,208062,0.2,0.2
9,175933,0,0
10,194476,0.5,0
11,88034,0,0
12,192419,0.14,0.142857143
13,528830,0,0.5
14,182959,0,1
15,132761,0,0.5
16,274692,0.5,0.5
17,584162,2,1
18,355854,1,1
19,75157,0.2,0
20,254724,0.4,0.6
21,99541,0,0.333333333
22,176854,0.25,0.5
23,226055,0,1
24,264534,0.2,0.2
25,225573,0.5,0.5
26,269116,0.5,0.5
27,135690,0.2,0.2
28,686161,1,0
29,169377,0,0.5
30,255646,0.33,0.666666667
31,194686,1,1
32,55161,0.2,0.2
33,238817,0,0.5
34,131517,0,0.75
35,161381,0,0.666666667
36,383941,0.5,0.5
37,453649,0.5,1
38,86144,0.5,0
39,532866,0.6,0.2
40,158731,0,0
41,248423,0.4,0.2
42,202144,0,0.2
43,118925,0,0.333333333
44,287054,0.33,0.166666667
45,435378,0.33,0.666666667
46,224295,0,0
47,172916,0.2,0.6
48,157519,0.2,0.2
49,181520,0,0.5
50,138740,0,0.5
51,215209,0,1
52,148710,0,0
53,105512,0,0.5
54,111768,0.5,1.5
55,365855,0.29,0.571428571
56,253321,0.25,0.25
57,209881,0.17,0.333333333
58,229969,0,0.5
59,304106,0.33,0.333333333
60,289309,0,1
61,160567,0.2,0.6
62,187546,0.25,0.25
63,96289,0,0.2
64,208347,0.17,0.5
65,246855,0,0.5
66,269471,0.33,0.333333333
67,131629,0,0.666666667
68,394117,0,0
69,236447,0,0.5
70,331053,0,1
71,148172,0.2,0.2
72,287164,0.2,0.4
73,351880,0.33,0.333333333
74,168747,0.29,0.428571429
75,274543,0.25,0.5
76,414319,1,1
77,375572,0.67,0.333333333
78,187856,0.2,0.8
79,501193,0.25,0.75
80,302942,0.13,0.625
81,148637,0.17,0.333333333
82,119462,0,0
83,258976,0.5,0.5
84,131805,0.2,0.2
85,130154,0.33,0.166666667
86,229013,0,0
87,278092,0.5,0
88,169587,0.13,0.375
89,208248,0.5,0.5
90,153726,0.25,0.5
91,354986,0,1
92,316227,1,1
93,575522,0.5,0.25
94,159534,0,0
95,258305,0,1
96,252705,0.4,0.6
97,147663,0.2,0.4
98,241456,0.2,0.6
99,351286,0.29,0.285714286
100,458190,1,1
101,117342,0,0.5
102,236821,0.33,0.333333333
103,305343,0.33,1
104,115091,0,0
105,454385,0.33,0.333333333
106,34295,0.33,0.666666667
107,147183,0.2,0.4
108,356870,0.25,0.75
109,111713,0,0.75
110,105122,0.5,0.5
111,94780,0.25,0.75
112,176500,0.25,0.5
113,279502,0.2,0.6
114,176256,0.2,0.6
115,178531,0.25,0.5
116,119289,0,0
117,127036,0.2,0.6
118,101518,0.25,0.25
119,189620,0.33,1
120,114510,0,1
121,565383,0.4,0.2
122,307792,0.2,0.4
123,333550,0,0.666666667
124,233455,0,0
125,253836,0,1
126,332851,0.67,0.333333333
127,243647,0,1
128,235642,0.5,0.5
129,201386,0.25,0.5
130,154464,0,0
131,176813,0,0.75
132,148383,0,0
133,346731,0,1
134,120121,0,0.25
135,343307,1,1
136,161595,0,1
137,653456,0,1
138,253670,0,0.4
139,233631,0,0.5
140,665212,1,0
141,324963,0.5,0.5
142,239256,0,1
143,982056,0,1
144,330035,0.5,0.75
145,179883,0.33,0.666666667
146,241455,0.25,0.75
147,326805,0,1
148,318809,0,1
149,439724,0.5,0
150,131082,0,1
151,268048,0.33,0.666666667
152,255141,0.2,0.6
153,122944,0,0
154,194427,0.25,0.75
155,251268,0,0.666666667
156,181392,0,0.375
157,453071,0,0.4
158,201701,0,0
159,224706,0.33,0.333333333
160,104739,0,0.5
161,181672,0.5,1
162,162137,0.2,0.2
163,117676,0,1
164,112403,1,0
165,174147,0,0.333333333
166,434079,0,1
167,229053,0,0.5
168,682043,0.5,1
169,348819,0.33,1
170,345598,0,1
171,170173,0.33,0.333333333
172,165838,0.2,0.4
173,96283,0,1
174,440337,0.25,0.25
175,188453,0.33,0.666666667
176,189270,0,0.5
177,260460,0,1
178,620194,0.5,1
179,616807,0.5,1
180,564819,0.33,1
181,819023,0.25,0.5
182,474475,0.5,0.5
183,435561,0.5,0
184,156078,0.2,0.2
185,491677,0.5,0.25
186,230865,0.2,0.2
187,231352,0.33,1
188,452202,0.25,0.25
189,123401,0.17,0.5
190,142239,0.29,0.428571429
191,711913,0,0.333333333
192,172951,0,0.5
193,325513,0.25,0.75
194,204772,0,1
195,195544,0,0
196,238944,0.33,0.333333333
197,203332,0,0.5
198,163565,0.25,0
199,369995,0,0.2
200,157549,0.2,0.6
201,320796,0,1
202,249272,0,1
203,146921,0,0.5
204,353020,0.2,0.6
205,1027170,0,1
206,224761,0.33,0.333333333
207,107615,0.25,0.25
208,921851,0,1.333333333
209,253302,0,0.5
210,385472,0.5,1
211,256312,0.5,0.25
212,194794,0,0.5
213,597492,1,0.5
214,125052,0,0.2
215,436300,0.25,0.5
216,109673,0.2,0.6
217,210634,0.67,0.666666667
218,132908,0,0.333333333
219,212829,0.33,0.333333333
220,209502,0.2,0.6
221,355372,0,1
222,179685,0.25,0.25
223,254031,0,0.5
224,198299,0,0.5
225,173653,0,1
226,393256,0,1
227,201563,0.2,0.4
228,109410,0,0.666666667
229,182526,1,0.5
230,887390,1,0.666666667
231,810333,0.25,0.25
232,311789,0.4,0.4
233,230212,0.4,0.2
234,198800,0.5,0.75
235,465249,0.5,1
236,310028,0,0
237,379915,0.5,0.5
238,263761,0,0.75
239,163408,0.2,0.2
240,429057,0,0
241,403988,0.33,0.333333333
242,726307,0.17,0.333333333
243,277268,0,0.5
244,655789,0.5,1
245,1119685,0.5,0.5
246,477649,0.14,0.428571429
247,227013,0.25,0.5
248,161383,0.33,0.333333333
249,658610,0.25,0.5
250,350563,0.33,0.666666667
251,861634,0.5,1.5
252,248967,0.5,0.5
253,495840,0.5,1.5
254,203916,0.5,0
255,217492,0.33,0.666666667
256,221490,0,1
257,321577,0.5,0.5
258,291306,0.33,0.666666667
259,406778,0.33,0.666666667
260,252167,0.2,0.4
261,176128,0,0.5
262,188539,0,1
263,168840,0,0.666666667
264,281378,0.5,0.5
265,240261,0.33,0.333333333
266,707063,1,1
267,231620,0.2,0.6
268,302623,0.5,0.666666667
269,83294,0,0.75
270,557291,0.5,0.5
271,510485,0.43,0.285714286
272,825317,0,1
273,294327,0.4,0.8
274,262178,0,1
275,188306,0,1
276,164518,0.17,0.666666667
277,556348,1,1
278,480293,0.5,0
279,857024,1,0.666666667
280,265555,0,0.5
281,231366,0.5,0.5
282,264863,0,0.5
283,349431,1,0
284,185537,0.33,0.666666667
285,245103,0,1
286,135452,0,0.333333333
287,130005,0,0
288,299844,0.33,0.333333333
289,236359,0.2,0.2
290,107632,0,0
291,269978,0,0
292,139078,0,0.5
293,392781,0,0
294,149786,0.14,0.285714286
295,175900,0,0.5
296,136260,0.25,0.5
297,101207,0,0.5
298,172608,0.25,0.25
299,166226,0,0.5
300,130983,0,0
301,163917,0,0.5
302,151956,0,0.6
303,247014,0.25,0.75
304,272772,0.2,0
305,643173,0,0.333333333
306,301562,0,0.5
307,264660,0.33,0.166666667
308,226661,0.2,0.4
309,259224,0.5,0.5
310,376751,0.67,0.666666667
311,162421,0.25,0.25
312,210677,0.33,1
313,182975,0.33,0.555555556
314,177826,0,0.5
315,428528,0.67,0.666666667
316,146898,0.17,0.333333333
317,379443,0,1
318,96307,0,0
319,1039878,0.5,0.5
320,350165,0.5,1
321,255781,0.5,0.5
322,197729,0.4,0.4
323,276946,0.5,0.75
324,182730,0.2,0.4
325,255181,0.33,0.666666667
326,298662,0.67,0
327,427557,0.33,0.666666667
328,983492,0.33,0.666666667
329,204879,0,0.333333333
330,191643,0.25,0.5
331,178191,0,0.5
332,355805,0,1
333,563797,0.33,0.666666667
334,307592,0.5,1
335,215373,0.33,0.333333333
336,415339,0.5,0.5
337,159954,0.5,0.5
338,162131,0,0
339,101421,0.5,0.5
340,197166,0,1
341,167965,0.17,0.666666667
342,263530,0,0
343,242126,0.25,0.25
344,200088,0,1
345,240539,0.4,0.2
346,171036,0,0
347,266646,0.2,0.6
348,280446,0.33,0.333333333
349,76864,0,0
350,714415,0.17,0.666666667
351,147799,0.25,0
352,85914,0,0.333333333
353,282601,0.17,0
354,256304,0.2,0.6
355,125261,0,0.25
356,201893,0,0.333333333
357,291341,0,0
358,294332,0.4,0.4
359,129467,0.17,0.5
360,194744,0.17,0.5
