id,income,car,scooter
1,253970,0.14,0.428571429
2,433747,0,0
3,414113,0.5,1
4,775738,0,0
5,531725,0.25,0.25
6,548840,0,0.5
7,295628,0,0
8,263162,0.33,0.333333333
9,967226,0.5,1
10,133945,0.5,0
11,261225,0,0.75
12,318050,0,0
13,256691,0.33,0.333333333
14,265873,0.25,0.75
15,380935,0.4,0.2
16,239847,0,0
17,372290,0.33,0.333333333
18,197957,0.5,0
19,309651,0,0
20,307565,0,0
21,226050,0.5,1
22,230574,0.33,1
23,397754,0,0.5
24,117213,0.13,0.625
25,407699,0.33,0.333333333
26,252865,0.14,0.857142857
27,297034,0.17,0.666666667
28,348306,0.33,1
29,192805,0,0.5
30,212032,0,0
31,374581,0.33,0.333333333
32,417048,0,0.333333333
33,311546,0.33,0
34,355085,0,0
35,256821,0.2,0.8
36,310126,0.33,0.333333333
37,143101,0,0.333333333
38,396268,0.25,0.75
39,165292,0,0.5
40,366898,0.33,0.666666667
41,663232,0.33,0.666666667
42,219628,0,0.5
43,248341,0.4,0.8
44,304658,0.33,0.666666667
45,239535,0,1
46,126493,0,0.5
47,264141,0.25,0.25
48,572848,0,0
49,517014,0.25,0.5
50,218962,0.14,0.428571429
51,315833,0.33,0.333333333
52,187355,0.25,0.75
53,995665,1,0
54,263914,0.2,0.6
55,393729,0.5,0.5
56,611654,0,1
57,286448,0.3,0.2
58,302171,0.2,0.2
59,252123,0.25,0
60,185005,0,0.5
61,204927,0,0
62,535283,0,0
63,1983169,0.5,0.5
64,256342,0.25,0.5
65,190616,0.25,0.25
66,290099,0.17,0.333333333
67,140383,0,0
68,142545,0,0.5
69,452736,0.5,0.5
70,134755,0.33,0.666666667
71,594084,0.67,0.333333333
72,531169,1,0.5
73,657728,0,1
74,399469,0,1
75,2362053,0,0.5
76,328109,0.5,0.5
77,671878,0.33,0.333333333
78,290276,0.43,0.714285714
79,275400,0.25,1
80,284718,0.33,0.333333333
81,466600,0.25,0
82,116673,0,0.5
83,124882,0.14,0.428571429
84,434279,0.33,0.333333333
85,247777,0,1
86,133852,0,0
87,650745,0.5,0
88,96345,0.14,0.571428571
89,495001,0.25,0
90,385683,0.25,0.5
91,497644,0,1
92,343432,0.25,0.5
93,241791,0,0.5
94,376723,0,0.333333333
95,295528,0.5,0.5
96,570025,1,1
97,371349,0.25,0.25
98,178240,0.33,0.666666667
99,184910,0,0.666666667
100,1047740,0.33,1.333333333
101,405507,0.25,0.25
102,703868,0,1
103,337538,0.25,0.625
104,427711,0.17,0.5
105,222105,0,0.5
106,340653,0.5,0
107,1596894,0.67,0.666666667
108,564645,0.33,1
109,327490,1,1
110,341640,0.25,0.75
111,593662,0.5,0
112,509589,0.33,0.666666667
113,106714,0.33,0.333333333
114,202770,0.33,0.666666667
115,295262,0.5,1
116,234174,0,0.5
117,195291,0.25,0.75
118,435147,0,0.5
119,173117,0,1
120,189059,0,1
121,269154,0,1
122,622409,1,0.5
123,316605,0.25,0.5
124,138989,0,0.333333333
125,221977,0,0
126,282084,0,0
127,339627,0,0.666666667
128,232065,0,0.25
129,241184,0.33,0.666666667
130,476372,0,1
