id,income,car,scooter
1,360402,0.5,0.5
2,425894,0,1
3,220250,0,0.666666667
4,253751,0,0.666666667
5,109113,0,1
6,533293,1,1
7,318676,0.33,0
8,82739,0,0
9,262987,0.25,0.5
10,133827,0,0
11,427120,0,0.5
12,222622,0.33,0.666666667
13,646413,0.5,0.25
14,276842,0.33,0.333333333
15,269353,0.5,0.25
16,253124,0,0.666666667
17,287957,0.5,0.5
18,-13281,0,1
19,224066,0,1
20,284897,0,0
21,234847,0.2,0.6
22,322466,0.25,1
23,328785,0.25,0.5
24,147849,0.25,0.5
25,291669,0.25,0.5
26,247484,0.25,0.75
27,352578,0,0
28,317426,0.33,0.666666667
29,145746,0.17,0.333333333
30,203586,0,1
31,621888,0.25,0.5
32,113794,0.25,0.25
33,218758,0,0.5
34,539908,0,0
35,174886,0,1
36,827096,0,0
37,251746,0,0.666666667
38,294480,0.29,0.285714286
39,297921,0.33,0
40,791380,0,0
41,133030,0.5,0.5
42,138064,0.25,0.5
43,317920,0.17,0.666666667
44,182050,0.2,0.4
45,191527,0.5,0.5
46,222329,0.4,0.6
47,130035,0.25,0.25
48,165993,0,1
49,141748,0.29,0.285714286
50,174874,0.4,0.4
51,162948,0.2,0.4
52,115439,0,0.333333333
53,200384,0.33,0
54,126697,0,0.333333333
55,262587,0,0
56,261742,0,0.75
57,158509,0,0
58,288323,0,0
59,1016264,0,0
60,577601,0,0
61,246103,0.2,0.6
62,145418,0.17,0.166666667
63,132110,0,0
64,1863981,0.5,1
65,93643,0,0.5
66,297810,0.5,0.5
67,529180,0.33,0.333333333
68,453837,0,0.5
69,388239,0.5,0.5
70,203947,0.25,0.25
71,739702,0.5,1
72,196800,0,1
73,372591,0.33,0.666666667
74,331989,0,0.5
75,1331090,0,0.5
76,848565,0.33,0
77,281889,0.33,0.666666667
78,246299,0.2,0.2
79,388879,0.33,0.333333333
80,346449,0.25,0.75
81,1294365,0.33,0.666666667
82,688687,0.5,1
83,661843,1,1
84,227442,0.5,0.5
85,370903,0.33,0.666666667
86,280200,0,0.833333333
87,412424,0.14,0.285714286
88,449826,0.5,0.5
89,379946,0,0.666666667
90,172936,0,1
91,428086,0.33,0.666666667
92,176433,0.2,0.6
93,243545,0.25,0.25
94,178997,0,1
95,203347,0,0
96,874389,0,0.666666667
97,303997,0.5,0.5
98,383784,0,0.5
99,112540,0,0.333333333
100,386234,0.33,1
101,1262686,0.5,1
102,158355,0.2,0.4
103,393736,0.33,0.333333333
104,740258,0.5,1
105,410833,0,1
106,77411,0,0.5
107,218036,0.25,0.25
108,531755,0.5,0
109,211122,0.5,0.5
110,287088,0,0.666666667
111,221157,0,0.5
112,367472,0.25,0.25
113,328037,0,1
114,150526,0,0.5
115,391241,0.5,0.5
116,893469,1,0
117,112742,0.33,0.333333333
118,241375,0.14,0.428571429
119,355906,0,0.666666667
120,443937,0.5,0
121,326411,0.25,0
122,682649,1,0
123,434390,0,1
124,150920,0.25,0.5
125,351274,0,0.5
126,210934,0,0.666666667
127,170562,0,0
128,563913,0.33,0.666666667
129,357322,0.25,0.5
130,337898,0,0.666666667
131,165246,0,0.5
132,389184,0,1
133,292508,0.25,0.5
134,460131,0.33,0.666666667
135,192133,0.14,0.142857143
136,409702,0.5,1
137,242955,0.25,0.5
138,191346,0.2,0.2
139,338770,0.5,0.75
140,201241,0.33,0.333333333
141,185550,0.33,0.166666667
142,203432,0,0.5
143,159921,0,0
144,147446,0.25,0.5
145,429899,0.5,0.5
146,75813,0,0.5
147,335417,0.5,0
148,348707,0.6,0.2
149,178266,0.33,0.333333333
150,466907,0.5,0
151,169585,0.25,0.5
152,169914,0,1
153,307890,0.5,0
154,117296,0.33,0.333333333
155,149832,0.5,0
156,232229,0.2,0
157,251222,0.2,0.6
158,719611,0.5,0.5
159,510091,0,0
160,144744,0.25,0.25
161,153728,0,0
162,164319,0.25,0
163,221647,0.25,0.5
164,238113,0.2,0.8
165,213011,0,0
166,137205,0.25,0.75
167,155768,0,0
168,102925,0,0.25
169,233254,0.33,0.333333333
170,364048,0,0
171,128868,0,0
172,189410,0,0.333333333
173,195029,0,0.5
174,348674,0.5,0.5
175,185435,0.5,0
176,410958,1,0
177,211594,0,0.333333333
178,326746,0,1
179,362627,0.25,0.5
180,159539,0.17,0.333333333
181,635232,0.33,0.666666667
182,186691,0,0
183,128745,0,0.333333333
184,220648,0,0.75
185,372367,0,1
186,221944,0.25,1
187,249950,1,0
188,175845,0,0.5
189,344831,0.33,0.333333333
190,160227,0,0.5
191,241515,0,0.8
192,184327,0,0
193,177117,0.25,0.25
194,290278,0.33,0.333333333
195,441791,0.5,0.5
196,142003,0,0.5
197,171534,0.25,0.25
198,174180,0.38,0.375
199,155963,0.5,0.5
200,120098,0.2,0.4
201,180807,0.2,0.4
202,246669,0.5,0.5
203,1246766,0.5,1
204,193479,0.25,0.75
205,197991,0.5,0.5
206,159122,0,0
207,210822,0.5,0.5
208,138719,0,0
209,146625,0.5,0.5
210,221146,0.5,0
211,418581,0.5,0
212,170509,0,0
213,374747,0.5,1
214,171869,0.33,0.666666667
215,139569,0.25,0.25
216,158209,0.2,0.6
217,331331,0.33,0
218,133424,0,0.5
219,77771,0.25,0.5
220,120781,0,1
221,166012,0.17,0.5
222,87721,0,1
223,319927,0,0
224,94120,0,0.5
225,290138,0.5,0.5
226,175398,0.25,0.25
227,362878,0.67,1
228,344591,1,2
229,164894,0.5,0.5
230,176999,0.33,1
231,184618,0.5,1
232,282245,0.33,0.666666667
233,179370,0,0.5
234,206258,0,0.5
235,345485,0.25,0.5
236,156280,0.2,0.8
237,351207,0,1
238,372363,0.5,0.5
239,481581,0.67,0.666666667
240,339144,1,1
241,220068,0.33,0.666666667
242,227058,0.2,0
243,223228,0.14,0.428571429
244,518673,0.4,0.4
245,280824,0.5,0.5
246,179387,0.33,0.666666667
247,186100,0.25,0.75
248,281684,0.33,0.666666667
249,413404,0,1
250,266699,0.33,0.333333333
251,138532,0,0.5
252,251471,0,0.666666667
253,811325,0.2,0.2
254,204019,0,0.5
255,131119,1,0
256,357840,0.33,0.666666667
257,311835,0.33,1
258,136541,0,1
259,297630,0.25,0.25
260,243541,0,0.25
261,340409,0.5,0
262,227260,0.2,0.4
263,188929,0.25,0.5
264,253437,0.33,1
265,273174,0.14,0.428571429
266,193642,0.17,0.166666667
267,137578,0.33,0.333333333
268,149301,0,0.4
269,128101,0.5,0.75
270,1381044,0.5,1
271,299694,0.5,1
272,128437,0.5,0.5
273,505583,0.5,1
274,276861,0.25,0.5
275,217914,0,0
276,119448,0.14,0.428571429
277,870730,0.5,1
278,191131,0.25,0
279,173118,0.25,0.5
280,174549,0,0.666666667
281,558005,0.67,1
282,335797,0.5,0.75
283,105960,0,0.25
284,191149,0.33,0.666666667
285,118054,0.2,0.4
286,161968,0,0.5
287,234475,0.25,0.5
288,210088,0.33,0.333333333
289,395871,0.5,0.5
290,372075,0.33,0.333333333
291,211873,0.33,0.333333333
292,69593,0,0.2
293,120061,0.33,0.333333333
294,122114,0,1
295,112982,0,0.25
296,266053,0,1
297,132483,0,0
298,109065,0,0
299,98662,0,0.5
300,233171,0,0
301,121520,0.5,1
302,205422,0,0.5
303,32813,0.2,0.4
304,183265,0,1
305,235588,0.4,0.8
306,181732,0,0.5
307,204120,0.25,0.5
308,135867,0,0.25
309,155273,0,0
310,122420,0,0.5
311,209620,0,0.333333333
312,294692,0.29,0.142857143
313,206501,0.17,0.5
314,108746,0,0.5
315,166535,0.17,0.5
316,229757,0.33,0.666666667
317,176863,0,0.142857143
318,222183,0,0
319,93575,0.2,0.2
320,219799,0,0
321,186725,0,1
322,132468,0,0.333333333
323,251914,0,0.5
324,204455,0,1
325,221580,0.14,0.428571429
326,233925,0,1
327,198372,0,0.333333333
328,107263,0,0
329,91270,0,1
330,258791,0.25,0.75
331,205321,0.33,1
332,108296,0,0.5
333,184048,0.5,0
334,144775,0,1
335,175876,0.2,0.6
336,80498,0,0
337,673780,0.5,0
338,297657,0,1
339,512023,1,0.5
340,254472,0,0
341,72386,0,0.333333333
342,215338,0.5,0.5
343,449379,0.5,0.25
344,96395,0.33,0
345,192691,0.25,0.25
346,358679,0.33,0.333333333
347,144273,0,0
348,297316,0,0
349,264975,0,0
350,256160,0.33,0.333333333
351,174268,0.5,0.5
352,258438,0.25,0.25
353,317050,0.33,0.333333333
354,310924,0.33,0.666666667
355,262317,0.33,1
356,286741,0,0
357,126562,0.14,0.142857143
358,246375,0.25,0.75
359,265876,0.25,0.25
360,127473,0.25,0.25
361,154432,0.5,0.5
362,651378,0,0
363,165089,1,0
364,213186,0.5,0
365,147880,0.5,0
366,196538,0,0
367,145464,0,0.25
368,173303,0.25,0.25
369,172017,1,0
370,408890,0.33,0.333333333
371,167156,0,0
372,178561,0.4,0.4
373,329859,0.25,0.5
374,195468,0.33,0.555555556
375,162455,0.17,0.5
376,171612,0.43,0.285714286
377,475508,0.5,0.25
378,254613,0.25,0.75
379,248119,0.25,0.5
380,201053,0.17,0.5
381,188342,0.38,0.125
382,254584,0.2,0.2
383,155692,0.33,0.333333333
384,277300,0,0.4
385,163930,0.25,0
386,331039,0.33,1
387,375228,0.67,1
388,269760,0.25,0.5
389,279070,0.5,1
390,258500,0.25,0.75
391,182794,0.5,0
392,330289,0,1
393,215131,0.5,0.333333333
394,136726,0.2,0.4
395,175634,0.2,0.8
396,242981,0.25,0.25
397,209601,0.5,0.5
398,720482,0.25,0.25
399,336103,0,1
400,327598,0,1
401,174060,0.5,0
402,190675,0,0
403,228154,0,0.4
404,324379,0.4,0.6
405,219334,0.2,0.4
406,301980,0,0.25
407,424785,1,0
408,294485,0.67,0
409,231103,0,1
410,201072,0.25,0.5
411,214161,0,0
412,256830,0.14,0.571428571
413,176304,0,0.333333333
414,303298,0,1
415,435250,0.33,0.666666667
416,177712,0,0.5
417,294657,0,0.666666667
418,212871,0.33,0.333333333
419,260616,0.33,0.666666667
420,226322,0.29,0.285714286
421,308593,0.5,0.5
422,293571,0.5,0.25
423,239048,0.25,0
424,134517,0.2,0.2
425,196331,0.2,0.4
426,261812,0.33,0
427,338645,0.25,0.25
428,340453,0.25,0
429,224467,0.25,0.25
430,352729,0.67,0.333333333
431,806559,0.5,0.5
432,271871,0.25,0.5
433,233664,0.2,0.4
434,267198,0.4,0.4
435,197662,0.17,0.166666667
436,191379,0,0.5
437,268692,0.5,0.75
438,306968,0.25,0.5
439,463329,0,0
440,237450,0.5,1
441,228463,0.33,0
442,414258,0,1
443,187787,0,0.6
444,148095,0.33,0.166666667
445,373999,0.17,1
446,355365,0,0.5
447,134063,0,0.5
448,180147,0,0.5
449,236532,0.25,0.25
450,308299,0.33,1
451,136447,0,0.666666667
452,245000,0,0
453,362101,0.2,0.2
454,273099,0.29,0.428571429
455,265793,0.33,0.333333333
456,162852,0.17,0.5
457,300484,0.75,0.25
458,333106,0.33,0.666666667
459,365296,0.5,0.5
460,372468,0.5,0.25
461,222457,0,0.5
462,156153,0.25,0.25
463,323292,0.17,0.5
464,240118,0.25,0.75
465,167720,0.25,0.25
466,210085,0.25,0.75
467,479093,1,0
468,293447,0,0.5
469,253823,0,1
470,168463,0,0
471,202900,0.25,0.25
472,370102,0.25,1
473,173861,0,0.333333333
474,78259,0,0.5
475,1065933,0.5,0.5
476,383227,0,1
477,355770,0.5,0.5
478,213923,0,0.5
479,306672,0.4,0.6
480,270659,0.5,0.5
481,189049,0.33,0.333333333
482,193735,0.25,0.5
483,319128,0.4,0.6
484,223390,0,0.666666667
485,311437,0.25,0.5
486,250019,0.2,0.8
487,372152,0.4,0.2
488,141426,0,0
489,651883,0.5,0.5
490,106625,0,0.166666667
491,208770,0.25,0.5
492,329386,0.2,0.2
493,357590,0,1
494,518262,0.33,0.666666667
495,357825,0.57,0.285714286
496,189064,0.25,0.5
497,151916,0.5,0
498,477054,0.5,0.75
499,437881,0.5,0.5
500,312225,0.2,0.6
501,297126,0.4,0
502,205185,0,0
503,121200,0,0.5
504,256415,0.25,0.25
505,315404,0.2,0.8
506,164345,0.14,0
507,392411,0.25,0.125
508,260527,0,0.666666667
509,202720,0.33,0.333333333
510,305476,0,1
511,397417,0.33,0.333333333
512,260084,0.4,0.8
513,393851,0.5,0
514,198116,0.29,0.285714286
515,438644,0,0
516,238399,0.33,0.5
517,113818,0,0
518,172767,0.33,0.333333333
519,282533,0.33,0.333333333
520,184535,0.25,0.25
521,360751,0.33,0.333333333
522,393306,0.14,0.428571429
523,198582,0.33,0.333333333
524,234398,0,1
525,289384,0.33,0.666666667
526,141635,0.29,0.285714286
527,257978,0.33,0.333333333
528,197083,0,0.5
529,286266,0.2,0.4
530,323171,0.5,0.5
531,226943,0.33,0.666666667
532,299958,0.25,0.5
533,382063,0.33,0.333333333
534,132750,0.33,0.333333333
535,176237,0,0.5
536,300951,0,0
537,281582,0.14,0.285714286
538,710781,0.5,1
539,285915,0.25,0.25
540,296733,0,1
541,138059,0,0
542,231154,0.25,0.75
543,398887,0,1
544,233017,0.5,0.25
545,724131,0.25,0.75
546,585155,0.5,1
547,279836,0.33,1
548,289637,0,0
549,283881,0,0.666666667
550,280119,0.25,0.25
551,221100,0,1
552,324611,0.67,0.666666667
553,290206,0,1
554,970381,0,0.5
555,269644,0.25,0.25
556,184837,0,0.666666667
557,55809,0,0.5
558,158615,0.2,0.4
559,178559,0.25,0.25
560,317517,0,0.5
561,890178,1,0
562,330246,0.5,0.5
563,162278,0.17,0.5
564,162920,0,0.25
565,405270,0.5,1
566,272603,0,0.5
567,234429,0.33,0.333333333
568,255500,0.25,0.25
569,258630,0.2,0.4
570,445531,0.33,0.666666667
571,147318,0,0.6
572,172526,0.25,0.25
573,259037,0.25,0.75
574,242411,0.25,0.75
575,175040,0.5,0.25
576,580734,0.67,0.666666667
577,289310,0.25,0
578,798159,0,0
579,120126,0,0.25
580,420893,0.25,0.25
581,267332,0.25,0.5
582,266850,0,1
583,286528,0.25,0.5
584,188309,0.33,0
585,792244,0.33,0.333333333
586,244188,0.33,0.333333333
587,520416,0.33,0
588,233510,0.25,0.75
589,110967,0,0.4
590,404374,0.5,0.166666667
591,335289,0.33,0.333333333
592,453577,0,1
593,121708,0,0.222222222
594,323336,1,1
595,349158,0.4,0.2
596,482880,0.4,0.2
597,251776,0.5,0
598,341389,0.25,0.5
599,171720,0.5,0.5
600,308531,0.33,1
601,186786,0.2,0.8
602,258918,0.2,0.4
603,336847,0.25,0.5
604,168900,0,0.5
605,260844,0.33,0.333333333
606,690044,0.25,0.5
607,345704,0.33,0.666666667
608,692600,0.5,0.5
609,106007,0,0.4
610,270918,0,0.5
611,412474,0.33,0.666666667
612,384998,0.33,0
613,159575,0,0.666666667
614,290583,0,0
615,341662,0.33,0.666666667
616,503329,0.5,0.5
617,310594,0.5,1
